day,cases,cases_new,growth,date
71,2,2,1.0,2020-04-02
72,2,0,1.0,2020-04-03
73,2,0,1.0,2020-04-04
74,2,0,1.0,2020-04-05
75,2,0,1.0,2020-04-06
76,2,0,1.0,2020-04-07
77,2,0,1.0,2020-04-08
78,2,0,1.0,2020-04-09
79,2,0,1.0,2020-04-10
80,2,0,1.0,2020-04-11
81,3,1,1.5,2020-04-12
82,3,0,1.0,2020-04-13
83,3,0,1.0,2020-04-14
84,3,0,1.0,2020-04-15
85,3,0,1.0,2020-04-16
86,3,0,1.0,2020-04-17
87,3,0,1.0,2020-04-18
88,5,2,1.666,2020-04-19
89,5,0,1.0,2020-04-20
90,5,0,1.0,2020-04-21
91,5,0,1.0,2020-04-22
92,5,0,1.0,2020-04-23
93,5,0,1.0,2020-04-24
94,5,0,1.0,2020-04-25
95,5,0,1.0,2020-04-26
96,5,0,1.0,2020-04-27
97,5,0,1.0,2020-04-28
98,5,0,1.0,2020-04-29
99,5,0,1.0,2020-04-30
100,6,1,1.2,2020-05-01
101,6,0,1.0,2020-05-02
102,6,0,1.0,2020-05-03
103,6,0,1.0,2020-05-04
104,6,0,1.0,2020-05-05
105,6,0,1.0,2020-05-06
106,6,0,1.0,2020-05-07
107,6,0,1.0,2020-05-08
108,6,0,1.0,2020-05-09
109,6,0,1.0,2020-05-10
110,6,0,1.0,2020-05-11
111,6,0,1.0,2020-05-12
112,6,0,1.0,2020-05-13
113,6,0,1.0,2020-05-14
114,6,0,1.0,2020-05-15
115,6,0,1.0,2020-05-16
116,6,0,1.0,2020-05-17
117,6,0,1.0,2020-05-18
118,6,0,1.0,2020-05-19
119,6,0,1.0,2020-05-20
120,6,0,1.0,2020-05-21
121,6,0,1.0,2020-05-22
122,6,0,1.0,2020-05-23
123,6,0,1.0,2020-05-24
