day,cases,cases_new,growth,date
49,1,1,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,5,4,5.0,2020-03-17
56,6,1,1.2,2020-03-18
57,9,3,1.5,2020-03-19
58,9,0,1.0,2020-03-20
59,14,5,1.555,2020-03-21
60,14,0,1.0,2020-03-22
61,25,11,1.785,2020-03-23
62,73,48,2.92,2020-03-24
63,80,7,1.095,2020-03-25
64,96,16,1.2,2020-03-26
65,101,5,1.052,2020-03-27
66,101,0,1.0,2020-03-28
67,165,64,1.633,2020-03-29
68,168,3,1.018,2020-03-30
69,179,11,1.065,2020-03-31
70,190,11,1.061,2020-04-01
71,194,4,1.021,2020-04-02
72,218,24,1.123,2020-04-03
73,245,27,1.123,2020-04-04
74,261,16,1.065,2020-04-05
75,323,62,1.237,2020-04-06
76,349,26,1.080,2020-04-07
77,384,35,1.100,2020-04-08
78,444,60,1.156,2020-04-09
79,444,0,1.0,2020-04-10
80,533,89,1.200,2020-04-11
81,574,41,1.076,2020-04-12
82,626,52,1.090,2020-04-13
83,638,12,1.019,2020-04-14
84,638,0,1.0,2020-04-15
85,654,16,1.025,2020-04-16
86,688,34,1.051,2020-04-17
87,801,113,1.164,2020-04-18
88,847,46,1.057,2020-04-19
89,847,0,1.0,2020-04-20
90,916,69,1.081,2020-04-21
91,952,36,1.039,2020-04-22
92,1004,52,1.054,2020-04-23
