day,cases,cases_new,growth,date
49,1,1,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,5,4,5.0,2020-03-17
56,6,1,1.2,2020-03-18
57,9,3,1.5,2020-03-19
58,9,0,1.0,2020-03-20
59,14,5,1.555,2020-03-21
60,14,0,1.0,2020-03-22
61,25,11,1.785,2020-03-23
62,73,48,2.92,2020-03-24
63,80,7,1.095,2020-03-25
64,96,16,1.2,2020-03-26
65,101,5,1.052,2020-03-27
66,101,0,1.0,2020-03-28
67,165,64,1.633,2020-03-29
68,168,3,1.018,2020-03-30
69,179,11,1.065,2020-03-31
