day,cases,cases_new,growth,date
51,1,1,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,2,1,2.0,2020-03-21
60,2,0,1.0,2020-03-22
61,4,2,2.0,2020-03-23
62,4,0,1.0,2020-03-24
63,4,0,1.0,2020-03-25
64,4,0,1.0,2020-03-26
65,8,4,2.0,2020-03-27
66,8,0,1.0,2020-03-28
67,16,8,2.0,2020-03-29
68,22,6,1.375,2020-03-30
69,22,0,1.0,2020-03-31
70,30,8,1.363,2020-04-01
71,52,22,1.733,2020-04-02
72,73,21,1.403,2020-04-03
73,111,38,1.520,2020-04-04
74,121,10,1.090,2020-04-05
75,128,7,1.057,2020-04-06
76,144,16,1.125,2020-04-07
77,164,20,1.138,2020-04-08
78,194,30,1.182,2020-04-09
79,212,18,1.092,2020-04-10
80,250,38,1.179,2020-04-11
81,250,0,1.0,2020-04-12
82,319,69,1.276,2020-04-13
83,363,44,1.137,2020-04-14
84,404,41,1.112,2020-04-15
85,438,34,1.084,2020-04-16
86,477,39,1.089,2020-04-17
87,518,41,1.085,2020-04-18
88,579,61,1.117,2020-04-19
89,622,43,1.074,2020-04-20
90,688,66,1.106,2020-04-21
91,761,73,1.106,2020-04-22
92,862,101,1.132,2020-04-23
