day,cases,cases_new,growth,date
3,3,3,1.0,2020-01-25
4,4,1,1.333,2020-01-26
5,4,0,1.0,2020-01-27
6,4,0,1.0,2020-01-28
7,7,3,1.75,2020-01-29
8,8,1,1.142,2020-01-30
9,8,0,1.0,2020-01-31
10,8,0,1.0,2020-02-01
11,8,0,1.0,2020-02-02
12,8,0,1.0,2020-02-03
13,10,2,1.25,2020-02-04
14,12,2,1.2,2020-02-05
15,12,0,1.0,2020-02-06
16,12,0,1.0,2020-02-07
17,16,4,1.333,2020-02-08
18,16,0,1.0,2020-02-09
19,18,2,1.125,2020-02-10
20,18,0,1.0,2020-02-11
21,18,0,1.0,2020-02-12
22,19,1,1.055,2020-02-13
23,19,0,1.0,2020-02-14
24,22,3,1.157,2020-02-15
25,22,0,1.0,2020-02-16
26,22,0,1.0,2020-02-17
27,22,0,1.0,2020-02-18
28,22,0,1.0,2020-02-19
29,22,0,1.0,2020-02-20
30,22,0,1.0,2020-02-21
31,22,0,1.0,2020-02-22
32,22,0,1.0,2020-02-23
33,22,0,1.0,2020-02-24
34,22,0,1.0,2020-02-25
35,22,0,1.0,2020-02-26
36,23,1,1.045,2020-02-27
37,23,0,1.0,2020-02-28
38,25,2,1.086,2020-02-29
39,29,4,1.16,2020-03-01
40,29,0,1.0,2020-03-02
41,36,7,1.241,2020-03-03
42,50,14,1.388,2020-03-04
43,50,0,1.0,2020-03-05
44,83,33,1.66,2020-03-06
45,93,10,1.120,2020-03-07
46,99,6,1.064,2020-03-08
47,117,18,1.181,2020-03-09
48,129,12,1.102,2020-03-10
49,149,20,1.155,2020-03-11
50,165,16,1.107,2020-03-12
51,197,32,1.193,2020-03-13
52,238,41,1.208,2020-03-14
53,428,190,1.798,2020-03-15
54,566,138,1.322,2020-03-16
55,673,107,1.189,2020-03-17
56,790,117,1.173,2020-03-18
57,900,110,1.139,2020-03-19
58,1030,130,1.144,2020-03-20
59,1183,153,1.148,2020-03-21
60,1306,123,1.103,2020-03-22
61,1518,212,1.162,2020-03-23
62,1624,106,1.069,2020-03-24
63,1796,172,1.105,2020-03-25
64,2031,235,1.130,2020-03-26
65,2161,130,1.064,2020-03-27
66,2320,159,1.073,2020-03-28
67,2470,150,1.064,2020-03-29
68,2626,156,1.063,2020-03-30
69,2766,140,1.053,2020-03-31
70,2908,142,1.051,2020-04-01
71,3116,208,1.071,2020-04-02
72,3333,217,1.069,2020-04-03
73,3483,150,1.045,2020-04-04
74,3662,179,1.051,2020-04-05
75,3793,131,1.035,2020-04-06
76,3963,170,1.044,2020-04-07
77,4119,156,1.039,2020-04-08
78,4228,109,1.026,2020-04-09
79,4346,118,1.027,2020-04-10
80,4530,184,1.042,2020-04-11
81,4683,153,1.033,2020-04-12
82,4817,134,1.028,2020-04-13
83,4987,170,1.035,2020-04-14
84,5072,85,1.017,2020-04-15
85,5182,110,1.021,2020-04-16
86,5251,69,1.013,2020-04-17
87,5305,54,1.010,2020-04-18
88,5389,84,1.015,2020-04-19
89,5425,36,1.006,2020-04-20
90,5482,57,1.010,2020-04-21
91,5532,50,1.009,2020-04-22
92,5603,71,1.012,2020-04-23
