day,cases,cases_new,growth,date
40,1,1,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,2,1,2.0,2020-03-16
55,39,37,19.5,2020-03-17
56,39,0,1.0,2020-03-18
57,53,14,1.358,2020-03-19
58,75,22,1.415,2020-03-20
59,88,13,1.173,2020-03-21
60,113,25,1.284,2020-03-22
