day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,2,1,2.0,2020-01-23
2,5,3,2.5,2020-01-24
3,11,6,2.2,2020-01-25
4,16,5,1.454,2020-01-26
5,26,10,1.625,2020-01-27
6,44,18,1.692,2020-01-28
7,55,11,1.25,2020-01-29
8,70,15,1.272,2020-01-30
9,83,13,1.185,2020-01-31
10,93,10,1.120,2020-02-01
11,105,12,1.129,2020-02-02
12,117,12,1.114,2020-02-03
13,122,5,1.042,2020-02-04
14,128,6,1.049,2020-02-05
15,133,5,1.039,2020-02-06
16,138,5,1.037,2020-02-07
17,138,0,1.0,2020-02-08
18,141,3,1.021,2020-02-09
19,149,8,1.056,2020-02-10
20,153,4,1.026,2020-02-11
21,154,1,1.006,2020-02-12
22,156,2,1.012,2020-02-13
23,162,6,1.038,2020-02-14
24,168,6,1.037,2020-02-15
25,171,3,1.017,2020-02-16
26,171,0,1.0,2020-02-17
27,172,1,1.005,2020-02-18
28,172,0,1.0,2020-02-19
29,174,2,1.011,2020-02-20
30,174,0,1.0,2020-02-21
31,174,0,1.0,2020-02-22
32,174,0,1.0,2020-02-23
33,174,0,1.0,2020-02-24
34,174,0,1.0,2020-02-25
35,174,0,1.0,2020-02-26
36,174,0,1.0,2020-02-27
37,174,0,1.0,2020-02-28
38,174,0,1.0,2020-02-29
39,174,0,1.0,2020-03-01
40,174,0,1.0,2020-03-02
41,174,0,1.0,2020-03-03
42,174,0,1.0,2020-03-04
43,174,0,1.0,2020-03-05
44,174,0,1.0,2020-03-06
45,174,0,1.0,2020-03-07
46,174,0,1.0,2020-03-08
47,174,0,1.0,2020-03-09
48,174,0,1.0,2020-03-10
49,174,0,1.0,2020-03-11
50,174,0,1.0,2020-03-12
51,174,0,1.0,2020-03-13
52,174,0,1.0,2020-03-14
53,174,0,1.0,2020-03-15
54,176,2,1.011,2020-03-16
55,176,0,1.0,2020-03-17
56,176,0,1.0,2020-03-18
57,176,0,1.0,2020-03-19
58,176,0,1.0,2020-03-20
59,176,0,1.0,2020-03-21
60,176,0,1.0,2020-03-22
61,176,0,1.0,2020-03-23
62,176,0,1.0,2020-03-24
63,176,0,1.0,2020-03-25
64,178,2,1.011,2020-03-26
65,180,2,1.011,2020-03-27
66,180,0,1.0,2020-03-28
67,180,0,1.0,2020-03-29
68,180,0,1.0,2020-03-30
