day,cases,cases_new,growth,date
44,1,1,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,3,2,3.0,2020-03-10
49,9,6,3.0,2020-03-11
50,10,1,1.111,2020-03-12
51,13,3,1.3,2020-03-13
52,22,9,1.692,2020-03-14
53,34,12,1.545,2020-03-15
54,54,20,1.588,2020-03-16
55,65,11,1.203,2020-03-17
56,93,28,1.430,2020-03-18
57,102,9,1.096,2020-03-19
58,128,26,1.254,2020-03-20
59,196,68,1.531,2020-03-21
60,231,35,1.178,2020-03-22
61,277,46,1.199,2020-03-23
62,378,101,1.364,2020-03-24
63,470,92,1.243,2020-03-25
64,491,21,1.044,2020-03-26
65,539,48,1.097,2020-03-27
66,608,69,1.128,2020-03-28
67,702,94,1.154,2020-03-29
68,798,96,1.136,2020-03-30
69,906,108,1.135,2020-03-31
70,1065,159,1.175,2020-04-01
71,1161,96,1.090,2020-04-02
72,1267,106,1.091,2020-04-03
73,1406,139,1.109,2020-04-04
74,1485,79,1.056,2020-04-05
75,1579,94,1.063,2020-04-06
76,1780,201,1.127,2020-04-07
77,2054,274,1.153,2020-04-08
78,2223,169,1.082,2020-04-09
79,2473,250,1.112,2020-04-10
80,2709,236,1.095,2020-04-11
81,2776,67,1.024,2020-04-12
82,2852,76,1.027,2020-04-13
83,2979,127,1.044,2020-04-14
84,3105,126,1.042,2020-04-15
85,3233,128,1.041,2020-04-16
86,3439,206,1.063,2020-04-17
87,3439,0,1.0,2020-04-18
88,3792,353,1.102,2020-04-19
89,3977,185,1.048,2020-04-20
90,4149,172,1.043,2020-04-21
91,4356,207,1.049,2020-04-22
92,4561,205,1.047,2020-04-23
