day,cases,cases_new,growth,date
42,1,1,1.0,2020-03-04
43,1,0,1.0,2020-03-05
48,1,1,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,3,2,3.0,2020-03-20
59,3,0,1.0,2020-03-21
60,5,2,1.666,2020-03-22
61,5,0,1.0,2020-03-23
62,6,1,1.2,2020-03-24
63,6,0,1.0,2020-03-25
64,12,6,2.0,2020-03-26
65,12,0,1.0,2020-03-27
66,15,3,1.25,2020-03-28
67,15,0,1.0,2020-03-29
68,15,0,1.0,2020-03-30
69,17,2,1.133,2020-03-31
70,19,2,1.117,2020-04-01
71,21,2,1.105,2020-04-02
72,22,1,1.047,2020-04-03
73,26,4,1.181,2020-04-04
74,27,1,1.038,2020-04-05
75,28,1,1.037,2020-04-06
76,28,0,1.0,2020-04-07
77,28,0,1.0,2020-04-08
78,28,0,1.0,2020-04-09
79,28,0,1.0,2020-04-10
80,28,0,1.0,2020-04-11
81,28,0,1.0,2020-04-12
