day,cases,cases_new,growth,date
46,1,1,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,5,4,5.0,2020-03-11
50,5,0,1.0,2020-03-12
51,6,1,1.2,2020-03-13
52,6,0,1.0,2020-03-14
53,6,0,1.0,2020-03-15
54,8,2,1.333,2020-03-16
55,9,1,1.125,2020-03-17
56,11,2,1.222,2020-03-18
57,11,0,1.0,2020-03-19
58,13,2,1.181,2020-03-20
59,18,5,1.384,2020-03-21
60,22,4,1.222,2020-03-22
61,22,0,1.0,2020-03-23
62,27,5,1.227,2020-03-24
63,37,10,1.370,2020-03-25
64,41,4,1.108,2020-03-26
65,52,11,1.268,2020-03-27
66,56,4,1.076,2020-03-28
67,59,3,1.053,2020-03-29
68,64,5,1.084,2020-03-30
69,65,1,1.015,2020-03-31
70,69,4,1.061,2020-04-01
71,77,8,1.115,2020-04-02
72,92,15,1.194,2020-04-03
73,96,4,1.043,2020-04-04
74,104,8,1.083,2020-04-05
75,113,9,1.086,2020-04-06
76,115,2,1.017,2020-04-07
77,119,4,1.034,2020-04-08
78,124,5,1.042,2020-04-09
79,129,5,1.040,2020-04-10
80,133,4,1.031,2020-04-11
81,134,1,1.007,2020-04-12
82,147,13,1.097,2020-04-13
83,159,12,1.081,2020-04-14
84,161,2,1.012,2020-04-15
85,174,13,1.080,2020-04-16
86,199,25,1.143,2020-04-17
87,202,3,1.015,2020-04-18
88,206,4,1.019,2020-04-19
89,208,2,1.009,2020-04-20
90,208,0,1.0,2020-04-21
91,213,5,1.024,2020-04-22
92,213,0,1.0,2020-04-23
