day,cases,cases_new,growth,date
50,3,3,1.0,2020-03-12
51,4,1,1.333,2020-03-13
52,4,0,1.0,2020-03-14
53,4,0,1.0,2020-03-15
54,4,0,1.0,2020-03-16
55,5,1,1.25,2020-03-17
56,7,2,1.4,2020-03-18
57,11,4,1.571,2020-03-19
58,16,5,1.454,2020-03-20
59,21,5,1.312,2020-03-21
60,35,14,1.666,2020-03-22
61,40,5,1.142,2020-03-23
62,48,8,1.2,2020-03-24
63,57,9,1.187,2020-03-25
64,67,10,1.175,2020-03-26
65,80,13,1.194,2020-03-27
66,119,39,1.487,2020-03-28
67,139,20,1.168,2020-03-29
68,170,31,1.223,2020-03-30
69,186,16,1.094,2020-03-31
70,212,26,1.139,2020-04-01
71,233,21,1.099,2020-04-02
72,269,36,1.154,2020-04-03
73,288,19,1.070,2020-04-04
74,320,32,1.111,2020-04-05
75,350,30,1.093,2020-04-06
76,396,46,1.131,2020-04-07
77,457,61,1.154,2020-04-08
78,515,58,1.126,2020-04-09
79,564,49,1.095,2020-04-10
80,620,56,1.099,2020-04-11
81,669,49,1.079,2020-04-12
82,726,57,1.085,2020-04-13
83,766,40,1.055,2020-04-14
84,814,48,1.062,2020-04-15
85,862,48,1.058,2020-04-16
86,923,61,1.070,2020-04-17
87,986,63,1.068,2020-04-18
88,1035,49,1.049,2020-04-19
89,1087,52,1.050,2020-04-20
90,1137,50,1.045,2020-04-21
91,1189,52,1.045,2020-04-22
92,1235,46,1.038,2020-04-23
93,1285,50,1.040,2020-04-24
94,1337,52,1.040,2020-04-25
95,1369,32,1.023,2020-04-26
96,1389,20,1.014,2020-04-27
97,1437,48,1.034,2020-04-28
98,1467,30,1.020,2020-04-29
99,1501,34,1.023,2020-04-30
100,1537,36,1.023,2020-05-01
101,1611,74,1.048,2020-05-02
102,1649,38,1.023,2020-05-03
103,1668,19,1.011,2020-05-04
104,1685,17,1.010,2020-05-05
105,1703,18,1.010,2020-05-06
106,1729,26,1.015,2020-05-07
107,1741,12,1.006,2020-05-08
108,1754,13,1.007,2020-05-09
109,1766,12,1.006,2020-05-10
110,1783,17,1.009,2020-05-11
111,1804,21,1.011,2020-05-12
112,1810,6,1.003,2020-05-13
113,1830,20,1.011,2020-05-14
114,1840,10,1.005,2020-05-15
115,1862,22,1.011,2020-05-16
116,1872,10,1.005,2020-05-17
117,1881,9,1.004,2020-05-18
118,1887,6,1.003,2020-05-19
119,1900,13,1.006,2020-05-20
120,1908,8,1.004,2020-05-21
121,1916,8,1.004,2020-05-22
122,1931,15,1.007,2020-05-23
123,1941,10,1.005,2020-05-24
