day,cases,cases_new,growth,date
37,1,1,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,3,2,3.0,2020-03-04
43,3,0,1.0,2020-03-05
44,4,1,1.333,2020-03-06
45,5,1,1.25,2020-03-07
46,5,0,1.0,2020-03-08
47,5,0,1.0,2020-03-09
48,5,0,1.0,2020-03-10
49,5,0,1.0,2020-03-11
50,5,0,1.0,2020-03-12
51,5,0,1.0,2020-03-13
52,6,1,1.2,2020-03-14
53,8,2,1.333,2020-03-15
54,8,0,1.0,2020-03-16
55,12,4,1.5,2020-03-17
56,20,8,1.666,2020-03-18
57,28,8,1.4,2020-03-19
58,39,11,1.392,2020-03-20
59,52,13,1.333,2020-03-21
60,102,50,1.961,2020-03-22
61,102,0,1.0,2020-03-23
62,155,53,1.519,2020-03-24
63,205,50,1.322,2020-03-25
64,283,78,1.380,2020-03-26
65,368,85,1.300,2020-03-27
66,451,83,1.225,2020-03-28
67,514,63,1.139,2020-03-29
68,589,75,1.145,2020-03-30
69,647,58,1.098,2020-03-31
70,708,61,1.094,2020-04-01
71,797,89,1.125,2020-04-02
72,868,71,1.089,2020-04-03
73,950,82,1.094,2020-04-04
74,1039,89,1.093,2020-04-05
75,1106,67,1.064,2020-04-06
76,1160,54,1.048,2020-04-07
77,1210,50,1.043,2020-04-08
78,1239,29,1.023,2020-04-09
79,1283,44,1.035,2020-04-10
80,1312,29,1.022,2020-04-11
81,1330,18,1.013,2020-04-12
82,1349,19,1.014,2020-04-13
83,1366,17,1.012,2020-04-14
84,1386,20,1.014,2020-04-15
85,1401,15,1.010,2020-04-16
86,1409,8,1.005,2020-04-17
87,1422,13,1.009,2020-04-18
88,1431,9,1.006,2020-04-19
89,1440,9,1.006,2020-04-20
90,1445,5,1.003,2020-04-21
91,1451,6,1.004,2020-04-22
92,1456,5,1.003,2020-04-23
93,1461,5,1.003,2020-04-24
94,1470,9,1.006,2020-04-25
95,1469,-1,0.999,2020-04-26
96,1472,3,1.002,2020-04-27
97,1474,2,1.001,2020-04-28
98,1476,2,1.001,2020-04-29
99,1479,3,1.002,2020-04-30
100,1485,6,1.004,2020-05-01
101,1487,2,1.001,2020-05-02
102,1487,0,1.0,2020-05-03
103,1486,-1,0.999,2020-05-04
104,1488,2,1.001,2020-05-05
105,1489,1,1.000,2020-05-06
106,1490,1,1.000,2020-05-07
107,1492,2,1.001,2020-05-08
108,1494,2,1.001,2020-05-09
109,1497,3,1.002,2020-05-10
110,1497,0,1.0,2020-05-11
111,1497,0,1.0,2020-05-12
112,1497,0,1.0,2020-05-13
113,1498,1,1.000,2020-05-14
114,1498,0,1.0,2020-05-15
115,1499,1,1.000,2020-05-16
116,1499,0,1.0,2020-05-17
117,1499,0,1.0,2020-05-18
118,1503,4,1.002,2020-05-19
119,1503,0,1.0,2020-05-20
120,1504,1,1.000,2020-05-21
121,1504,0,1.0,2020-05-22
122,1504,0,1.0,2020-05-23
123,1504,0,1.0,2020-05-24
