day,cases,cases_new,growth,date
0,2,2,1.0,2020-01-22
1,3,1,1.5,2020-01-23
2,5,2,1.666,2020-01-24
3,7,2,1.4,2020-01-25
4,8,1,1.142,2020-01-26
5,8,0,1.0,2020-01-27
6,14,6,1.75,2020-01-28
7,14,0,1.0,2020-01-29
8,14,0,1.0,2020-01-30
9,19,5,1.357,2020-01-31
10,19,0,1.0,2020-02-01
11,19,0,1.0,2020-02-02
12,19,0,1.0,2020-02-03
13,25,6,1.315,2020-02-04
14,25,0,1.0,2020-02-05
15,25,0,1.0,2020-02-06
16,25,0,1.0,2020-02-07
17,32,7,1.28,2020-02-08
18,32,0,1.0,2020-02-09
19,32,0,1.0,2020-02-10
20,33,1,1.031,2020-02-11
21,33,0,1.0,2020-02-12
22,33,0,1.0,2020-02-13
23,33,0,1.0,2020-02-14
24,33,0,1.0,2020-02-15
25,34,1,1.030,2020-02-16
26,35,1,1.029,2020-02-17
27,35,0,1.0,2020-02-18
28,35,0,1.0,2020-02-19
29,35,0,1.0,2020-02-20
30,35,0,1.0,2020-02-21
31,35,0,1.0,2020-02-22
32,35,0,1.0,2020-02-23
33,35,0,1.0,2020-02-24
34,37,2,1.057,2020-02-25
35,40,3,1.081,2020-02-26
36,40,0,1.0,2020-02-27
37,41,1,1.025,2020-02-28
38,42,1,1.024,2020-02-29
39,42,0,1.0,2020-03-01
40,43,1,1.023,2020-03-02
41,43,0,1.0,2020-03-03
42,43,0,1.0,2020-03-04
43,47,4,1.093,2020-03-05
44,48,1,1.021,2020-03-06
45,50,2,1.041,2020-03-07
46,50,0,1.0,2020-03-08
47,50,0,1.0,2020-03-09
48,53,3,1.06,2020-03-10
49,59,6,1.113,2020-03-11
50,70,11,1.186,2020-03-12
51,75,5,1.071,2020-03-13
52,82,7,1.093,2020-03-14
53,114,32,1.390,2020-03-15
54,147,33,1.289,2020-03-16
55,177,30,1.204,2020-03-17
56,212,35,1.197,2020-03-18
57,272,60,1.283,2020-03-19
58,322,50,1.183,2020-03-20
59,411,89,1.276,2020-03-21
60,599,188,1.457,2020-03-22
