day,cases,cases_new,growth,date
7,1,1,1.0,2020-01-29
8,1,0,1.0,2020-01-30
9,1,0,1.0,2020-01-31
10,1,0,1.0,2020-02-01
11,1,0,1.0,2020-02-02
12,1,0,1.0,2020-02-03
13,1,0,1.0,2020-02-04
14,1,0,1.0,2020-02-05
15,1,0,1.0,2020-02-06
16,1,0,1.0,2020-02-07
17,1,0,1.0,2020-02-08
18,1,0,1.0,2020-02-09
19,1,0,1.0,2020-02-10
20,1,0,1.0,2020-02-11
21,1,0,1.0,2020-02-12
22,1,0,1.0,2020-02-13
23,1,0,1.0,2020-02-14
24,1,0,1.0,2020-02-15
25,1,0,1.0,2020-02-16
26,1,0,1.0,2020-02-17
27,1,0,1.0,2020-02-18
28,1,0,1.0,2020-02-19
29,1,0,1.0,2020-02-20
30,1,0,1.0,2020-02-21
31,1,0,1.0,2020-02-22
32,1,0,1.0,2020-02-23
33,1,0,1.0,2020-02-24
34,1,0,1.0,2020-02-25
35,2,1,2.0,2020-02-26
36,2,0,1.0,2020-02-27
37,2,0,1.0,2020-02-28
38,3,1,1.5,2020-02-29
39,6,3,2.0,2020-03-01
40,6,0,1.0,2020-03-02
41,6,0,1.0,2020-03-03
42,6,0,1.0,2020-03-04
43,12,6,2.0,2020-03-05
44,15,3,1.25,2020-03-06
45,15,0,1.0,2020-03-07
46,23,8,1.533,2020-03-08
47,30,7,1.304,2020-03-09
48,40,10,1.333,2020-03-10
49,59,19,1.475,2020-03-11
50,91,32,1.542,2020-03-12
51,155,64,1.703,2020-03-13
52,225,70,1.451,2020-03-14
53,244,19,1.084,2020-03-15
54,277,33,1.135,2020-03-16
55,321,44,1.158,2020-03-17
56,336,15,1.046,2020-03-18
57,400,64,1.190,2020-03-19
58,450,50,1.125,2020-03-20
59,523,73,1.162,2020-03-21
60,626,103,1.196,2020-03-22
61,700,74,1.118,2020-03-23
62,792,92,1.131,2020-03-24
63,880,88,1.111,2020-03-25
64,958,78,1.088,2020-03-26
65,1041,83,1.086,2020-03-27
66,1167,126,1.121,2020-03-28
67,1240,73,1.062,2020-03-29
68,1352,112,1.090,2020-03-30
69,1418,66,1.048,2020-03-31
70,1446,28,1.019,2020-04-01
71,1518,72,1.049,2020-04-02
72,1615,97,1.063,2020-04-03
73,1882,267,1.165,2020-04-04
74,1927,45,1.023,2020-04-05
75,2176,249,1.129,2020-04-06
76,2308,132,1.060,2020-04-07
77,2487,179,1.077,2020-04-08
78,2605,118,1.047,2020-04-09
79,2769,164,1.062,2020-04-10
80,2905,136,1.049,2020-04-11
81,2974,69,1.023,2020-04-12
82,3064,90,1.030,2020-04-13
83,3161,97,1.031,2020-04-14
84,3237,76,1.024,2020-04-15
85,3369,132,1.040,2020-04-16
86,3489,120,1.035,2020-04-17
87,3681,192,1.055,2020-04-18
88,3783,102,1.027,2020-04-19
89,3868,85,1.022,2020-04-20
90,4014,146,1.037,2020-04-21
91,4129,115,1.028,2020-04-22
92,4284,155,1.037,2020-04-23
