day,cases,cases_new,growth,date
62,2,2,1.0,2020-03-24
63,3,1,1.5,2020-03-25
64,6,3,2.0,2020-03-26
65,6,0,1.0,2020-03-27
66,8,2,1.333,2020-03-28
67,8,0,1.0,2020-03-29
68,8,0,1.0,2020-03-30
69,9,1,1.125,2020-03-31
70,10,1,1.111,2020-04-01
71,10,0,1.0,2020-04-02
72,10,0,1.0,2020-04-03
73,10,0,1.0,2020-04-04
74,11,1,1.1,2020-04-05
75,12,1,1.090,2020-04-06
76,14,2,1.166,2020-04-07
77,15,1,1.071,2020-04-08
78,16,1,1.066,2020-04-09
79,16,0,1.0,2020-04-10
80,18,2,1.125,2020-04-11
81,19,1,1.055,2020-04-12
82,19,0,1.0,2020-04-13
83,19,0,1.0,2020-04-14
84,19,0,1.0,2020-04-15
85,19,0,1.0,2020-04-16
86,19,0,1.0,2020-04-17
87,19,0,1.0,2020-04-18
88,19,0,1.0,2020-04-19
89,19,0,1.0,2020-04-20
90,19,0,1.0,2020-04-21
91,19,0,1.0,2020-04-22
92,19,0,1.0,2020-04-23
