day,cases,cases_new,growth,date
50,1,1,1.0,2020-03-12
51,4,3,4.0,2020-03-13
52,4,0,1.0,2020-03-14
53,4,0,1.0,2020-03-15
54,7,3,1.75,2020-03-16
55,8,1,1.142,2020-03-17
56,15,7,1.875,2020-03-18
57,17,2,1.133,2020-03-19
58,17,0,1.0,2020-03-20
59,18,1,1.058,2020-03-21
60,20,2,1.111,2020-03-22
61,20,0,1.0,2020-03-23
62,21,1,1.05,2020-03-24
63,35,14,1.666,2020-03-25
64,36,1,1.028,2020-03-26
65,39,3,1.083,2020-03-27
66,64,25,1.641,2020-03-28
67,72,8,1.125,2020-03-29
68,96,24,1.333,2020-03-30
69,103,7,1.072,2020-03-31
70,127,24,1.233,2020-04-01
71,167,40,1.314,2020-04-02
72,182,15,1.089,2020-04-03
73,182,0,1.0,2020-04-04
74,203,21,1.115,2020-04-05
75,203,0,1.0,2020-04-06
76,217,14,1.068,2020-04-07
77,217,0,1.0,2020-04-08
78,221,4,1.018,2020-04-09
79,230,9,1.040,2020-04-10
80,243,13,1.056,2020-04-11
81,242,-1,0.995,2020-04-12
82,246,4,1.016,2020-04-13
83,246,0,1.0,2020-04-14
84,246,0,1.0,2020-04-15
85,250,4,1.016,2020-04-16
86,250,0,1.0,2020-04-17
87,253,3,1.012,2020-04-18
88,254,1,1.003,2020-04-19
89,254,0,1.0,2020-04-20
90,255,1,1.003,2020-04-21
91,257,2,1.007,2020-04-22
92,262,5,1.019,2020-04-23
