day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,3,2,3.0,2020-01-23
2,3,0,1.0,2020-01-24
3,4,1,1.333,2020-01-25
4,5,1,1.25,2020-01-26
5,7,2,1.4,2020-01-27
6,9,2,1.285,2020-01-28
7,9,0,1.0,2020-01-29
8,12,3,1.333,2020-01-30
9,29,17,2.416,2020-01-31
10,29,0,1.0,2020-02-01
11,38,9,1.310,2020-02-02
12,46,8,1.210,2020-02-03
13,58,12,1.260,2020-02-04
14,64,6,1.103,2020-02-05
15,71,7,1.109,2020-02-06
16,81,10,1.140,2020-02-07
17,89,8,1.098,2020-02-08
18,99,10,1.112,2020-02-09
19,109,10,1.101,2020-02-10
20,127,18,1.165,2020-02-11
21,133,6,1.047,2020-02-12
22,135,2,1.015,2020-02-13
23,140,5,1.037,2020-02-14
24,143,3,1.021,2020-02-15
25,144,1,1.006,2020-02-16
26,146,2,1.013,2020-02-17
27,146,0,1.0,2020-02-18
28,146,0,1.0,2020-02-19
29,146,0,1.0,2020-02-20
30,146,0,1.0,2020-02-21
31,146,0,1.0,2020-02-22
32,146,0,1.0,2020-02-23
33,146,0,1.0,2020-02-24
34,146,0,1.0,2020-02-25
35,146,0,1.0,2020-02-26
36,146,0,1.0,2020-02-27
37,146,0,1.0,2020-02-28
38,146,0,1.0,2020-02-29
39,146,0,1.0,2020-03-01
40,146,0,1.0,2020-03-02
41,146,0,1.0,2020-03-03
42,146,0,1.0,2020-03-04
43,146,0,1.0,2020-03-05
44,146,0,1.0,2020-03-06
45,146,0,1.0,2020-03-07
46,146,0,1.0,2020-03-08
47,146,0,1.0,2020-03-09
48,146,0,1.0,2020-03-10
49,146,0,1.0,2020-03-11
50,146,0,1.0,2020-03-12
51,146,0,1.0,2020-03-13
52,146,0,1.0,2020-03-14
53,146,0,1.0,2020-03-15
54,146,0,1.0,2020-03-16
55,147,1,1.006,2020-03-17
56,146,-1,0.993,2020-03-18
57,146,0,1.0,2020-03-19
58,146,0,1.0,2020-03-20
59,146,0,1.0,2020-03-21
60,146,0,1.0,2020-03-22
61,146,0,1.0,2020-03-23
62,146,0,1.0,2020-03-24
63,146,0,1.0,2020-03-25
64,146,0,1.0,2020-03-26
65,146,0,1.0,2020-03-27
66,146,0,1.0,2020-03-28
67,146,0,1.0,2020-03-29
68,146,0,1.0,2020-03-30
69,146,0,1.0,2020-03-31
