day,cases,cases_new,growth,date
35,2,2,1.0,2020-02-26
36,2,0,1.0,2020-02-27
37,2,0,1.0,2020-02-28
38,4,2,2.0,2020-02-29
39,4,0,1.0,2020-03-01
40,4,0,1.0,2020-03-02
41,5,1,1.25,2020-03-03
42,5,0,1.0,2020-03-04
43,5,0,1.0,2020-03-05
44,6,1,1.2,2020-03-06
45,6,0,1.0,2020-03-07
46,6,0,1.0,2020-03-08
47,6,0,1.0,2020-03-09
48,16,10,2.666,2020-03-10
49,19,3,1.187,2020-03-11
50,20,1,1.052,2020-03-12
51,28,8,1.4,2020-03-13
52,31,3,1.107,2020-03-14
53,53,22,1.709,2020-03-15
54,136,83,2.566,2020-03-16
55,236,100,1.735,2020-03-17
56,299,63,1.266,2020-03-18
57,454,155,1.518,2020-03-19
58,501,47,1.103,2020-03-20
59,730,229,1.457,2020-03-21
60,776,46,1.063,2020-03-22
61,875,99,1.127,2020-03-23
62,972,97,1.110,2020-03-24
63,1063,91,1.093,2020-03-25
64,1201,138,1.129,2020-03-26
65,1373,172,1.143,2020-03-27
66,1495,122,1.088,2020-03-28
67,1597,102,1.068,2020-03-29
68,1717,120,1.075,2020-03-30
69,1938,221,1.128,2020-03-31
70,2118,180,1.092,2020-04-01
71,2421,303,1.143,2020-04-02
72,2686,265,1.109,2020-04-03
73,2818,132,1.049,2020-04-04
74,3157,339,1.120,2020-04-05
75,3766,609,1.192,2020-04-06
76,4035,269,1.071,2020-04-07
77,4263,228,1.056,2020-04-08
78,4489,226,1.053,2020-04-09
79,4695,206,1.045,2020-04-10
80,5011,316,1.067,2020-04-11
81,5230,219,1.043,2020-04-12
82,5496,266,1.050,2020-04-13
83,5837,341,1.062,2020-04-14
84,6383,546,1.093,2020-04-15
85,6919,536,1.083,2020-04-16
86,7025,106,1.015,2020-04-17
87,7638,613,1.087,2020-04-18
88,8348,710,1.092,2020-04-19
89,8418,70,1.008,2020-04-20
90,9565,1147,1.136,2020-04-21
91,10076,511,1.053,2020-04-22
92,11155,1079,1.107,2020-04-23
