day,cases,cases_new,growth,date
9,2,2,1.0,2020-01-31
10,2,0,1.0,2020-02-01
11,2,0,1.0,2020-02-02
12,2,0,1.0,2020-02-03
13,2,0,1.0,2020-02-04
14,2,0,1.0,2020-02-05
15,2,0,1.0,2020-02-06
16,2,0,1.0,2020-02-07
17,2,0,1.0,2020-02-08
18,2,0,1.0,2020-02-09
19,2,0,1.0,2020-02-10
20,2,0,1.0,2020-02-11
21,2,0,1.0,2020-02-12
22,2,0,1.0,2020-02-13
23,2,0,1.0,2020-02-14
24,2,0,1.0,2020-02-15
25,2,0,1.0,2020-02-16
26,2,0,1.0,2020-02-17
27,2,0,1.0,2020-02-18
28,2,0,1.0,2020-02-19
29,2,0,1.0,2020-02-20
30,2,0,1.0,2020-02-21
31,2,0,1.0,2020-02-22
32,2,0,1.0,2020-02-23
33,2,0,1.0,2020-02-24
34,2,0,1.0,2020-02-25
35,2,0,1.0,2020-02-26
36,2,0,1.0,2020-02-27
37,2,0,1.0,2020-02-28
38,2,0,1.0,2020-02-29
39,2,0,1.0,2020-03-01
40,3,1,1.5,2020-03-02
41,3,0,1.0,2020-03-03
42,3,0,1.0,2020-03-04
43,4,1,1.333,2020-03-05
44,13,9,3.25,2020-03-06
45,13,0,1.0,2020-03-07
46,17,4,1.307,2020-03-08
47,17,0,1.0,2020-03-09
48,20,3,1.176,2020-03-10
49,20,0,1.0,2020-03-11
50,28,8,1.4,2020-03-12
51,45,17,1.607,2020-03-13
52,59,14,1.311,2020-03-14
53,63,4,1.067,2020-03-15
54,90,27,1.428,2020-03-16
