day,cases,cases_new,growth,date
50,1,1,1.0,2020-03-12
51,3,2,3.0,2020-03-13
52,3,0,1.0,2020-03-14
53,3,0,1.0,2020-03-15
54,3,0,1.0,2020-03-16
55,3,0,1.0,2020-03-17
56,3,0,1.0,2020-03-18
57,6,3,2.0,2020-03-19
58,11,5,1.833,2020-03-20
59,15,4,1.363,2020-03-21
60,18,3,1.2,2020-03-22
61,18,0,1.0,2020-03-23
62,25,7,1.388,2020-03-24
63,25,0,1.0,2020-03-25
64,30,5,1.2,2020-03-26
65,30,0,1.0,2020-03-27
66,30,0,1.0,2020-03-28
67,30,0,1.0,2020-03-29
68,36,6,1.2,2020-03-30
69,36,0,1.0,2020-03-31
70,37,1,1.027,2020-04-01
71,37,0,1.0,2020-04-02
72,39,2,1.054,2020-04-03
73,40,1,1.025,2020-04-04
74,41,1,1.025,2020-04-05
75,42,1,1.024,2020-04-06
76,47,5,1.119,2020-04-07
77,51,4,1.085,2020-04-08
78,51,0,1.0,2020-04-09
79,51,0,1.0,2020-04-10
80,51,0,1.0,2020-04-11
81,53,2,1.039,2020-04-12
82,55,2,1.037,2020-04-13
83,55,0,1.0,2020-04-14
84,55,0,1.0,2020-04-15
85,55,0,1.0,2020-04-16
86,55,0,1.0,2020-04-17
87,55,0,1.0,2020-04-18
88,55,0,1.0,2020-04-19
89,56,1,1.018,2020-04-20
90,56,0,1.0,2020-04-21
91,57,1,1.017,2020-04-22
92,57,0,1.0,2020-04-23
93,57,0,1.0,2020-04-24
94,57,0,1.0,2020-04-25
95,57,0,1.0,2020-04-26
96,57,0,1.0,2020-04-27
97,58,1,1.017,2020-04-28
98,58,0,1.0,2020-04-29
99,58,0,1.0,2020-04-30
100,58,0,1.0,2020-05-01
101,58,0,1.0,2020-05-02
102,58,0,1.0,2020-05-03
103,58,0,1.0,2020-05-04
104,60,2,1.034,2020-05-05
105,60,0,1.0,2020-05-06
106,60,0,1.0,2020-05-07
107,60,0,1.0,2020-05-08
108,60,0,1.0,2020-05-09
109,60,0,1.0,2020-05-10
110,60,0,1.0,2020-05-11
111,60,0,1.0,2020-05-12
112,60,0,1.0,2020-05-13
113,60,0,1.0,2020-05-14
114,60,0,1.0,2020-05-15
115,60,0,1.0,2020-05-16
116,60,0,1.0,2020-05-17
117,60,0,1.0,2020-05-18
118,60,0,1.0,2020-05-19
119,60,0,1.0,2020-05-20
120,60,0,1.0,2020-05-21
121,60,0,1.0,2020-05-22
122,60,0,1.0,2020-05-23
123,60,0,1.0,2020-05-24
