day,cases,cases_new,growth,date
46,3,3,1.0,2020-03-08
47,3,0,1.0,2020-03-09
48,3,0,1.0,2020-03-10
49,3,0,1.0,2020-03-11
50,3,0,1.0,2020-03-12
51,3,0,1.0,2020-03-13
52,3,0,1.0,2020-03-14
53,5,2,1.666,2020-03-15
54,8,3,1.6,2020-03-16
55,10,2,1.25,2020-03-17
56,14,4,1.4,2020-03-18
57,17,3,1.214,2020-03-19
58,20,3,1.176,2020-03-20
59,25,5,1.25,2020-03-21
60,27,2,1.08,2020-03-22
61,33,6,1.222,2020-03-23
62,39,6,1.181,2020-03-24
63,39,0,1.0,2020-03-25
64,44,5,1.128,2020-03-26
65,48,4,1.090,2020-03-27
66,48,0,1.0,2020-03-28
67,48,0,1.0,2020-03-29
68,49,1,1.020,2020-03-30
69,51,2,1.040,2020-03-31
70,54,3,1.058,2020-04-01
71,56,2,1.037,2020-04-02
72,61,5,1.089,2020-04-03
73,70,9,1.147,2020-04-04
74,88,18,1.257,2020-04-05
75,123,35,1.397,2020-04-06
76,164,41,1.333,2020-04-07
77,218,54,1.329,2020-04-08
78,330,112,1.513,2020-04-09
79,424,94,1.284,2020-04-10
80,482,58,1.136,2020-04-11
81,621,139,1.288,2020-04-12
82,803,182,1.293,2020-04-13
83,1012,209,1.260,2020-04-14
84,1231,219,1.216,2020-04-15
85,1572,341,1.277,2020-04-16
86,1838,266,1.169,2020-04-17
87,2144,306,1.166,2020-04-18
88,2456,312,1.145,2020-04-19
89,2948,492,1.200,2020-04-20
90,3382,434,1.147,2020-04-21
91,3772,390,1.115,2020-04-22
92,4186,414,1.109,2020-04-23
