day,cases,cases_new,growth,date
10,1,1,1.0,2020-02-01
11,2,1,2.0,2020-02-02
12,2,0,1.0,2020-02-03
13,2,0,1.0,2020-02-04
14,2,0,1.0,2020-02-05
15,2,0,1.0,2020-02-06
16,2,0,1.0,2020-02-07
17,2,0,1.0,2020-02-08
18,2,0,1.0,2020-02-09
19,2,0,1.0,2020-02-10
20,2,0,1.0,2020-02-11
21,2,0,1.0,2020-02-12
22,2,0,1.0,2020-02-13
23,2,0,1.0,2020-02-14
24,2,0,1.0,2020-02-15
25,2,0,1.0,2020-02-16
26,2,0,1.0,2020-02-17
27,2,0,1.0,2020-02-18
28,2,0,1.0,2020-02-19
29,2,0,1.0,2020-02-20
30,2,0,1.0,2020-02-21
31,2,0,1.0,2020-02-22
32,2,0,1.0,2020-02-23
33,2,0,1.0,2020-02-24
34,2,0,1.0,2020-02-25
35,2,0,1.0,2020-02-26
36,2,0,1.0,2020-02-27
37,2,0,1.0,2020-02-28
38,3,1,1.5,2020-02-29
39,3,0,1.0,2020-03-01
40,3,0,1.0,2020-03-02
41,3,0,1.0,2020-03-03
42,5,2,1.666,2020-03-04
43,5,0,1.0,2020-03-05
44,7,2,1.4,2020-03-06
45,7,0,1.0,2020-03-07
46,7,0,1.0,2020-03-08
47,7,0,1.0,2020-03-09
48,7,0,1.0,2020-03-10
49,9,2,1.285,2020-03-11
50,11,2,1.222,2020-03-12
51,16,5,1.454,2020-03-13
52,19,3,1.187,2020-03-14
53,20,1,1.052,2020-03-15
54,29,9,1.45,2020-03-16
55,29,0,1.0,2020-03-17
56,37,8,1.275,2020-03-18
57,42,5,1.135,2020-03-19
58,50,8,1.190,2020-03-20
59,67,17,1.34,2020-03-21
60,100,33,1.492,2020-03-22
61,134,34,1.34,2020-03-23
62,170,36,1.268,2020-03-24
63,170,0,1.0,2020-03-25
64,235,65,1.382,2020-03-26
