day,cases,cases_new,growth,date
42,1,1,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,3,2,3.0,2020-03-17
56,8,5,2.666,2020-03-18
57,10,2,1.25,2020-03-19
58,10,0,1.0,2020-03-20
59,10,0,1.0,2020-03-21
60,15,5,1.5,2020-03-22
61,15,0,1.0,2020-03-23
62,15,0,1.0,2020-03-24
63,26,11,1.733,2020-03-25
64,35,9,1.346,2020-03-26
65,55,20,1.571,2020-03-27
66,56,1,1.018,2020-03-28
67,65,9,1.160,2020-03-29
