day,cases,cases_new,growth,date
47,2,2,1.0,2020-03-09
48,3,1,1.5,2020-03-10
49,6,3,2.0,2020-03-11
50,8,2,1.333,2020-03-12
51,14,6,1.75,2020-03-13
52,26,12,1.857,2020-03-14
53,26,0,1.0,2020-03-15
54,33,7,1.269,2020-03-16
55,46,13,1.393,2020-03-17
56,49,3,1.065,2020-03-18
57,67,18,1.367,2020-03-19
58,67,0,1.0,2020-03-20
59,84,17,1.253,2020-03-21
60,95,11,1.130,2020-03-22
61,116,21,1.221,2020-03-23
62,124,8,1.068,2020-03-24
63,132,8,1.064,2020-03-25
64,146,14,1.106,2020-03-26
65,162,16,1.109,2020-03-27
66,179,17,1.104,2020-03-28
67,214,35,1.195,2020-03-29
68,230,16,1.074,2020-03-30
69,262,32,1.139,2020-03-31
70,320,58,1.221,2020-04-01
71,356,36,1.112,2020-04-02
72,396,40,1.112,2020-04-03
73,426,30,1.075,2020-04-04
74,446,20,1.046,2020-04-05
75,465,19,1.042,2020-04-06
76,494,29,1.062,2020-04-07
77,526,32,1.064,2020-04-08
78,564,38,1.072,2020-04-09
79,595,31,1.054,2020-04-10
80,616,21,1.035,2020-04-11
81,633,17,1.027,2020-04-12
