day,cases,cases_new,growth,date
60,1,1,1.0,2020-03-22
61,1,0,1.0,2020-03-23
62,1,0,1.0,2020-03-24
63,5,4,5.0,2020-03-25
64,5,0,1.0,2020-03-26
65,5,0,1.0,2020-03-27
66,5,0,1.0,2020-03-28
67,9,4,1.8,2020-03-29
68,10,1,1.111,2020-03-30
69,10,0,1.0,2020-03-31
70,10,0,1.0,2020-04-01
71,16,6,1.6,2020-04-02
72,16,0,1.0,2020-04-03
73,16,0,1.0,2020-04-04
74,19,3,1.187,2020-04-05
75,19,0,1.0,2020-04-06
76,19,0,1.0,2020-04-07
77,19,0,1.0,2020-04-08
78,19,0,1.0,2020-04-09
79,19,0,1.0,2020-04-10
80,25,6,1.315,2020-04-11
81,25,0,1.0,2020-04-12
82,25,0,1.0,2020-04-13
83,29,4,1.16,2020-04-14
84,33,4,1.137,2020-04-15
85,33,0,1.0,2020-04-16
86,38,5,1.151,2020-04-17
87,38,0,1.0,2020-04-18
88,39,1,1.026,2020-04-19
89,39,0,1.0,2020-04-20
90,42,3,1.076,2020-04-21
91,42,0,1.0,2020-04-22
92,42,0,1.0,2020-04-23
