day,cases,cases_new,growth,date
54,1,1,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,2,1,2.0,2020-03-18
57,2,0,1.0,2020-03-19
58,2,0,1.0,2020-03-20
59,3,1,1.5,2020-03-21
60,3,0,1.0,2020-03-22
61,3,0,1.0,2020-03-23
62,3,0,1.0,2020-03-24
63,3,0,1.0,2020-03-25
64,3,0,1.0,2020-03-26
65,3,0,1.0,2020-03-27
66,3,0,1.0,2020-03-28
67,3,0,1.0,2020-03-29
68,3,0,1.0,2020-03-30
69,3,0,1.0,2020-03-31
70,6,3,2.0,2020-04-01
71,6,0,1.0,2020-04-02
72,7,1,1.166,2020-04-03
73,10,3,1.428,2020-04-04
74,13,3,1.3,2020-04-05
75,14,1,1.076,2020-04-06
76,14,0,1.0,2020-04-07
77,31,17,2.214,2020-04-08
78,31,0,1.0,2020-04-09
79,37,6,1.193,2020-04-10
80,48,11,1.297,2020-04-11
81,50,2,1.041,2020-04-12
82,59,9,1.18,2020-04-13
83,59,0,1.0,2020-04-14
84,59,0,1.0,2020-04-15
85,59,0,1.0,2020-04-16
86,76,17,1.288,2020-04-17
87,76,0,1.0,2020-04-18
88,91,15,1.197,2020-04-19
89,99,8,1.087,2020-04-20
90,101,2,1.020,2020-04-21
91,101,0,1.0,2020-04-22
92,101,0,1.0,2020-04-23
