day,cases,cases_new,growth,date
36,1,1,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,3,2,3.0,2020-02-29
39,4,1,1.333,2020-03-01
40,4,0,1.0,2020-03-02
41,6,2,1.5,2020-03-03
42,10,4,1.666,2020-03-04
43,10,0,1.0,2020-03-05
44,23,13,2.3,2020-03-06
45,23,0,1.0,2020-03-07
46,35,12,1.521,2020-03-08
47,90,55,2.571,2020-03-09
48,262,172,2.911,2020-03-10
49,442,180,1.687,2020-03-11
50,615,173,1.391,2020-03-12
51,801,186,1.302,2020-03-13
52,827,26,1.032,2020-03-14
53,864,37,1.044,2020-03-15
54,914,50,1.057,2020-03-16
55,977,63,1.068,2020-03-17
56,1057,80,1.081,2020-03-18
57,1151,94,1.088,2020-03-19
58,1255,104,1.090,2020-03-20
59,1326,71,1.056,2020-03-21
60,1395,69,1.052,2020-03-22
61,1450,55,1.039,2020-03-23
62,1591,141,1.097,2020-03-24
63,1724,133,1.083,2020-03-25
64,1877,153,1.088,2020-03-26
65,2046,169,1.090,2020-03-27
66,2201,155,1.075,2020-03-28
67,2395,194,1.088,2020-03-29
