day,cases,cases_new,growth,date
36,1,1,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,3,2,3.0,2020-02-29
39,4,1,1.333,2020-03-01
40,4,0,1.0,2020-03-02
41,6,2,1.5,2020-03-03
42,10,4,1.666,2020-03-04
43,10,0,1.0,2020-03-05
44,23,13,2.3,2020-03-06
45,23,0,1.0,2020-03-07
46,35,12,1.521,2020-03-08
47,90,55,2.571,2020-03-09
48,262,172,2.911,2020-03-10
49,442,180,1.687,2020-03-11
50,615,173,1.391,2020-03-12
51,801,186,1.302,2020-03-13
52,827,26,1.032,2020-03-14
53,864,37,1.044,2020-03-15
54,914,50,1.057,2020-03-16
55,977,63,1.068,2020-03-17
56,1057,80,1.081,2020-03-18
57,1151,94,1.088,2020-03-19
58,1255,104,1.090,2020-03-20
59,1326,71,1.056,2020-03-21
60,1395,69,1.052,2020-03-22
61,1450,55,1.039,2020-03-23
62,1591,141,1.097,2020-03-24
63,1724,133,1.083,2020-03-25
64,1877,153,1.088,2020-03-26
65,2046,169,1.090,2020-03-27
66,2201,155,1.075,2020-03-28
67,2395,194,1.088,2020-03-29
68,2577,182,1.075,2020-03-30
69,2860,283,1.109,2020-03-31
70,3107,247,1.086,2020-04-01
71,3386,279,1.089,2020-04-02
72,3757,371,1.109,2020-04-03
73,4077,320,1.085,2020-04-04
74,4369,292,1.071,2020-04-05
75,4681,312,1.071,2020-04-06
76,5071,390,1.083,2020-04-07
77,5402,331,1.065,2020-04-08
78,5635,233,1.043,2020-04-09
79,5819,184,1.032,2020-04-10
80,5996,177,1.030,2020-04-11
81,6174,178,1.029,2020-04-12
82,6318,144,1.023,2020-04-13
83,6511,193,1.030,2020-04-14
84,6681,170,1.026,2020-04-15
85,6879,198,1.029,2020-04-16
86,7073,194,1.028,2020-04-17
87,7242,169,1.023,2020-04-18
88,7384,142,1.019,2020-04-19
89,7515,131,1.017,2020-04-20
90,7695,180,1.023,2020-04-21
91,7912,217,1.028,2020-04-22
92,8073,161,1.020,2020-04-23
