day,cases,cases_new,growth,date
0,7,7,1.0,2020-01-22
1,11,4,1.571,2020-01-23
2,21,10,1.909,2020-01-24
3,28,7,1.333,2020-01-25
4,43,15,1.535,2020-01-26
5,50,7,1.162,2020-01-27
6,69,19,1.38,2020-01-28
7,79,10,1.144,2020-01-29
8,93,14,1.177,2020-01-30
9,125,32,1.344,2020-01-31
10,147,22,1.176,2020-02-01
11,157,10,1.068,2020-02-02
12,165,8,1.050,2020-02-03
13,185,20,1.121,2020-02-04
14,195,10,1.054,2020-02-05
15,207,12,1.061,2020-02-06
16,281,74,1.357,2020-02-07
17,306,25,1.088,2020-02-08
18,321,15,1.049,2020-02-09
19,408,87,1.271,2020-02-10
20,416,8,1.019,2020-02-11
21,462,46,1.110,2020-02-12
22,473,11,1.023,2020-02-13
23,527,54,1.114,2020-02-14
24,617,90,1.170,2020-02-15
25,711,94,1.152,2020-02-16
26,824,113,1.158,2020-02-17
27,925,101,1.122,2020-02-18
28,1020,95,1.102,2020-02-19
29,1120,100,1.098,2020-02-20
30,1269,149,1.133,2020-02-21
31,1571,302,1.237,2020-02-22
32,1936,365,1.232,2020-02-23
33,2320,384,1.198,2020-02-24
34,2652,332,1.143,2020-02-25
35,3222,570,1.214,2020-02-26
36,4146,924,1.286,2020-02-27
37,5184,1038,1.250,2020-02-28
38,6655,1471,1.283,2020-02-29
39,8437,1782,1.267,2020-03-01
40,10170,1733,1.205,2020-03-02
41,12579,2409,1.236,2020-03-03
42,14734,2155,1.171,2020-03-04
43,17356,2622,1.177,2020-03-05
44,21111,3755,1.216,2020-03-06
45,25078,3967,1.187,2020-03-07
46,29000,3922,1.156,2020-03-08
47,32733,3733,1.128,2020-03-09
48,37733,5000,1.152,2020-03-10
49,44954,7221,1.191,2020-03-11
50,51983,7029,1.156,2020-03-12
51,64260,12277,1.236,2020-03-13
52,75045,10785,1.167,2020-03-14
53,86742,11697,1.155,2020-03-15
54,100595,13853,1.159,2020-03-16
55,116113,15518,1.154,2020-03-17
56,133793,17680,1.152,2020-03-18
57,161924,28131,1.210,2020-03-19
58,190785,28861,1.178,2020-03-20
59,223091,32306,1.169,2020-03-21
60,255482,32391,1.145,2020-03-22
61,296737,41255,1.161,2020-03-23
62,336454,39717,1.133,2020-03-24
63,385992,49538,1.147,2020-03-25
64,447809,61817,1.160,2020-03-26
65,511394,63585,1.141,2020-03-27
66,578707,67313,1.131,2020-03-28
67,637995,59288,1.102,2020-03-29
68,700167,62172,1.097,2020-03-30
