day,cases,cases_new,growth,date
0,7,7,1.0,2020-01-22
1,10,3,1.428,2020-01-23
2,21,11,2.1,2020-01-24
3,28,7,1.333,2020-01-25
4,43,15,1.535,2020-01-26
5,50,7,1.162,2020-01-27
6,69,19,1.38,2020-01-28
7,79,10,1.144,2020-01-29
8,93,14,1.177,2020-01-30
9,125,32,1.344,2020-01-31
10,147,22,1.176,2020-02-01
11,157,10,1.068,2020-02-02
12,165,8,1.050,2020-02-03
13,185,20,1.121,2020-02-04
14,195,10,1.054,2020-02-05
15,230,35,1.179,2020-02-06
16,281,51,1.221,2020-02-07
17,306,25,1.088,2020-02-08
18,321,15,1.049,2020-02-09
19,408,87,1.271,2020-02-10
20,416,8,1.019,2020-02-11
21,462,46,1.110,2020-02-12
22,473,11,1.023,2020-02-13
23,527,54,1.114,2020-02-14
24,617,90,1.170,2020-02-15
25,711,94,1.152,2020-02-16
26,824,113,1.158,2020-02-17
27,925,101,1.122,2020-02-18
28,1020,95,1.102,2020-02-19
29,1120,100,1.098,2020-02-20
30,1273,153,1.136,2020-02-21
31,1578,305,1.239,2020-02-22
32,1943,365,1.231,2020-02-23
33,2327,384,1.197,2020-02-24
34,2659,332,1.142,2020-02-25
35,3229,570,1.214,2020-02-26
36,4154,925,1.286,2020-02-27
37,5192,1038,1.249,2020-02-28
38,6655,1463,1.281,2020-02-29
39,8437,1782,1.267,2020-03-01
40,10170,1733,1.205,2020-03-02
41,12579,2409,1.236,2020-03-03
42,14734,2155,1.171,2020-03-04
43,17352,2618,1.177,2020-03-05
44,21094,3742,1.215,2020-03-06
45,25052,3958,1.187,2020-03-07
46,28974,3922,1.156,2020-03-08
47,32704,3730,1.128,2020-03-09
48,37705,5001,1.152,2020-03-10
49,44944,7239,1.191,2020-03-11
50,48141,3197,1.071,2020-03-12
51,64248,16107,1.334,2020-03-13
52,75117,10869,1.169,2020-03-14
53,86483,11366,1.151,2020-03-15
54,100548,14065,1.162,2020-03-16
55,116153,15605,1.155,2020-03-17
56,134073,17920,1.154,2020-03-18
57,161678,27605,1.205,2020-03-19
58,191018,29340,1.181,2020-03-20
59,222434,31416,1.164,2020-03-21
