day,cases,cases_new,growth,date
49,1,1,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,2,1,2.0,2020-03-13
52,2,0,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,2,0,1.0,2020-03-16
55,3,1,1.5,2020-03-17
56,4,1,1.333,2020-03-18
57,14,10,3.5,2020-03-19
58,18,4,1.285,2020-03-20
59,23,5,1.277,2020-03-21
60,30,7,1.304,2020-03-22
61,36,6,1.2,2020-03-23
62,45,9,1.25,2020-03-24
63,48,3,1.066,2020-03-25
64,51,3,1.062,2020-03-26
65,51,0,1.0,2020-03-27
66,65,14,1.274,2020-03-28
67,65,0,1.0,2020-03-29
68,81,16,1.246,2020-03-30
69,98,17,1.209,2020-03-31
70,109,11,1.112,2020-04-01
71,134,25,1.229,2020-04-02
72,134,0,1.0,2020-04-03
73,154,20,1.149,2020-04-04
74,154,0,1.0,2020-04-05
75,161,7,1.045,2020-04-06
76,180,19,1.118,2020-04-07
77,180,0,1.0,2020-04-08
78,180,0,1.0,2020-04-09
79,215,35,1.194,2020-04-10
80,223,8,1.037,2020-04-11
81,234,11,1.049,2020-04-12
82,235,1,1.004,2020-04-13
83,241,6,1.025,2020-04-14
84,254,13,1.053,2020-04-15
85,267,13,1.051,2020-04-16
86,287,20,1.074,2020-04-17
87,307,20,1.069,2020-04-18
88,327,20,1.065,2020-04-19
89,332,5,1.015,2020-04-20
90,350,18,1.054,2020-04-21
91,359,9,1.025,2020-04-22
92,377,18,1.050,2020-04-23
