day,cases,cases_new,growth,date
16,61,61,1.0,2020-02-07
17,61,0,1.0,2020-02-08
18,64,3,1.049,2020-02-09
19,135,71,2.109,2020-02-10
20,135,0,1.0,2020-02-11
21,175,40,1.296,2020-02-12
22,175,0,1.0,2020-02-13
23,218,43,1.245,2020-02-14
24,285,67,1.307,2020-02-15
25,355,70,1.245,2020-02-16
26,454,99,1.278,2020-02-17
27,542,88,1.193,2020-02-18
28,621,79,1.145,2020-02-19
29,634,13,1.020,2020-02-20
30,634,0,1.0,2020-02-21
31,634,0,1.0,2020-02-22
32,691,57,1.089,2020-02-23
33,691,0,1.0,2020-02-24
34,691,0,1.0,2020-02-25
35,705,14,1.020,2020-02-26
36,705,0,1.0,2020-02-27
37,705,0,1.0,2020-02-28
38,705,0,1.0,2020-02-29
39,705,0,1.0,2020-03-01
40,705,0,1.0,2020-03-02
41,706,1,1.001,2020-03-03
42,706,0,1.0,2020-03-04
43,706,0,1.0,2020-03-05
44,706,0,1.0,2020-03-06
45,706,0,1.0,2020-03-07
46,706,0,1.0,2020-03-08
47,706,0,1.0,2020-03-09
48,706,0,1.0,2020-03-10
49,706,0,1.0,2020-03-11
50,706,0,1.0,2020-03-12
51,706,0,1.0,2020-03-13
52,706,0,1.0,2020-03-14
53,706,0,1.0,2020-03-15
54,706,0,1.0,2020-03-16
55,706,0,1.0,2020-03-17
56,712,6,1.008,2020-03-18
57,712,0,1.0,2020-03-19
58,712,0,1.0,2020-03-20
59,712,0,1.0,2020-03-21
60,712,0,1.0,2020-03-22
61,712,0,1.0,2020-03-23
62,712,0,1.0,2020-03-24
63,712,0,1.0,2020-03-25
64,712,0,1.0,2020-03-26
65,712,0,1.0,2020-03-27
66,712,0,1.0,2020-03-28
67,712,0,1.0,2020-03-29
68,712,0,1.0,2020-03-30
69,712,0,1.0,2020-03-31
70,712,0,1.0,2020-04-01
71,712,0,1.0,2020-04-02
72,712,0,1.0,2020-04-03
73,712,0,1.0,2020-04-04
74,712,0,1.0,2020-04-05
75,712,0,1.0,2020-04-06
76,712,0,1.0,2020-04-07
77,712,0,1.0,2020-04-08
78,712,0,1.0,2020-04-09
79,712,0,1.0,2020-04-10
80,712,0,1.0,2020-04-11
81,712,0,1.0,2020-04-12
82,712,0,1.0,2020-04-13
83,712,0,1.0,2020-04-14
84,712,0,1.0,2020-04-15
85,712,0,1.0,2020-04-16
86,712,0,1.0,2020-04-17
87,712,0,1.0,2020-04-18
88,712,0,1.0,2020-04-19
89,712,0,1.0,2020-04-20
90,712,0,1.0,2020-04-21
91,712,0,1.0,2020-04-22
92,712,0,1.0,2020-04-23
93,712,0,1.0,2020-04-24
94,712,0,1.0,2020-04-25
95,712,0,1.0,2020-04-26
96,712,0,1.0,2020-04-27
97,712,0,1.0,2020-04-28
98,712,0,1.0,2020-04-29
99,712,0,1.0,2020-04-30
100,712,0,1.0,2020-05-01
101,712,0,1.0,2020-05-02
102,712,0,1.0,2020-05-03
103,712,0,1.0,2020-05-04
104,712,0,1.0,2020-05-05
105,712,0,1.0,2020-05-06
106,712,0,1.0,2020-05-07
107,712,0,1.0,2020-05-08
108,712,0,1.0,2020-05-09
109,712,0,1.0,2020-05-10
110,712,0,1.0,2020-05-11
111,712,0,1.0,2020-05-12
112,712,0,1.0,2020-05-13
113,712,0,1.0,2020-05-14
114,712,0,1.0,2020-05-15
115,712,0,1.0,2020-05-16
116,712,0,1.0,2020-05-17
117,712,0,1.0,2020-05-18
118,712,0,1.0,2020-05-19
119,712,0,1.0,2020-05-20
120,712,0,1.0,2020-05-21
121,712,0,1.0,2020-05-22
122,712,0,1.0,2020-05-23
123,712,0,1.0,2020-05-24
