day,cases,cases_new,growth,date
1,1,1,1.0,2020-01-23
2,3,2,3.0,2020-01-24
3,4,1,1.333,2020-01-25
4,4,0,1.0,2020-01-26
5,6,2,1.5,2020-01-27
6,8,2,1.333,2020-01-28
7,9,1,1.125,2020-01-29
8,14,5,1.555,2020-01-30
9,14,0,1.0,2020-01-31
10,17,3,1.214,2020-02-01
11,23,6,1.352,2020-02-02
12,31,8,1.347,2020-02-03
13,42,11,1.354,2020-02-04
14,54,12,1.285,2020-02-05
15,59,5,1.092,2020-02-06
16,65,6,1.101,2020-02-07
17,69,4,1.061,2020-02-08
18,78,9,1.130,2020-02-09
19,80,2,1.025,2020-02-10
20,81,1,1.012,2020-02-11
21,83,2,1.024,2020-02-12
22,84,1,1.012,2020-02-13
23,86,2,1.023,2020-02-14
24,88,2,1.023,2020-02-15
25,89,1,1.011,2020-02-16
26,89,0,1.0,2020-02-17
27,89,0,1.0,2020-02-18
28,90,1,1.011,2020-02-19
29,91,1,1.011,2020-02-20
30,91,0,1.0,2020-02-21
31,91,0,1.0,2020-02-22
32,91,0,1.0,2020-02-23
33,93,2,1.021,2020-02-24
34,93,0,1.0,2020-02-25
35,93,0,1.0,2020-02-26
36,93,0,1.0,2020-02-27
37,93,0,1.0,2020-02-28
38,93,0,1.0,2020-02-29
39,93,0,1.0,2020-03-01
40,93,0,1.0,2020-03-02
41,93,0,1.0,2020-03-03
42,93,0,1.0,2020-03-04
43,93,0,1.0,2020-03-05
44,93,0,1.0,2020-03-06
45,93,0,1.0,2020-03-07
46,93,0,1.0,2020-03-08
47,93,0,1.0,2020-03-09
48,93,0,1.0,2020-03-10
49,93,0,1.0,2020-03-11
50,93,0,1.0,2020-03-12
51,93,0,1.0,2020-03-13
52,93,0,1.0,2020-03-14
53,93,0,1.0,2020-03-15
54,93,0,1.0,2020-03-16
55,93,0,1.0,2020-03-17
56,93,0,1.0,2020-03-18
57,93,0,1.0,2020-03-19
58,93,0,1.0,2020-03-20
59,93,0,1.0,2020-03-21
60,93,0,1.0,2020-03-22
61,93,0,1.0,2020-03-23
62,93,0,1.0,2020-03-24
63,94,1,1.010,2020-03-25
64,95,1,1.010,2020-03-26
65,95,0,1.0,2020-03-27
66,97,2,1.021,2020-03-28
67,98,1,1.010,2020-03-29
68,98,0,1.0,2020-03-30
69,98,0,1.0,2020-03-31
70,98,0,1.0,2020-04-01
71,98,0,1.0,2020-04-02
72,98,0,1.0,2020-04-03
