day,cases,cases_new,growth,date
5,1,1,1.0,2020-01-27
6,1,0,1.0,2020-01-28
7,1,0,1.0,2020-01-29
8,1,0,1.0,2020-01-30
9,1,0,1.0,2020-01-31
10,1,0,1.0,2020-02-01
11,1,0,1.0,2020-02-02
12,1,0,1.0,2020-02-03
13,1,0,1.0,2020-02-04
14,1,0,1.0,2020-02-05
15,1,0,1.0,2020-02-06
16,1,0,1.0,2020-02-07
17,1,0,1.0,2020-02-08
18,1,0,1.0,2020-02-09
19,1,0,1.0,2020-02-10
20,1,0,1.0,2020-02-11
21,1,0,1.0,2020-02-12
22,1,0,1.0,2020-02-13
23,1,0,1.0,2020-02-14
24,1,0,1.0,2020-02-15
25,1,0,1.0,2020-02-16
26,1,0,1.0,2020-02-17
27,1,0,1.0,2020-02-18
28,1,0,1.0,2020-02-19
29,1,0,1.0,2020-02-20
30,1,0,1.0,2020-02-21
31,1,0,1.0,2020-02-22
32,1,0,1.0,2020-02-23
33,1,0,1.0,2020-02-24
34,1,0,1.0,2020-02-25
35,1,0,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,2,1,2.0,2020-03-11
50,3,1,1.5,2020-03-12
51,6,3,2.0,2020-03-13
52,10,4,1.666,2020-03-14
53,18,8,1.8,2020-03-15
54,28,10,1.555,2020-03-16
55,44,16,1.571,2020-03-17
56,51,7,1.159,2020-03-18
57,60,9,1.176,2020-03-19
58,73,13,1.216,2020-03-20
59,77,4,1.054,2020-03-21
60,82,5,1.064,2020-03-22
61,97,15,1.182,2020-03-23
62,102,5,1.051,2020-03-24
63,102,0,1.0,2020-03-25
64,106,4,1.039,2020-03-26
65,106,0,1.0,2020-03-27
66,113,7,1.066,2020-03-28
67,117,4,1.035,2020-03-29
68,122,5,1.042,2020-03-30
69,143,21,1.172,2020-03-31
70,146,3,1.020,2020-04-01
71,151,5,1.034,2020-04-02
72,159,8,1.052,2020-04-03
