day,cases,cases_new,growth,date
9,2,2,1.0,2020-01-31
10,2,0,1.0,2020-02-01
11,2,0,1.0,2020-02-02
12,2,0,1.0,2020-02-03
13,2,0,1.0,2020-02-04
14,2,0,1.0,2020-02-05
15,2,0,1.0,2020-02-06
16,3,1,1.5,2020-02-07
17,3,0,1.0,2020-02-08
18,3,0,1.0,2020-02-09
19,3,0,1.0,2020-02-10
20,3,0,1.0,2020-02-11
21,3,0,1.0,2020-02-12
22,3,0,1.0,2020-02-13
23,3,0,1.0,2020-02-14
24,3,0,1.0,2020-02-15
25,3,0,1.0,2020-02-16
26,3,0,1.0,2020-02-17
27,3,0,1.0,2020-02-18
28,3,0,1.0,2020-02-19
29,3,0,1.0,2020-02-20
30,20,17,6.666,2020-02-21
31,62,42,3.1,2020-02-22
32,155,93,2.5,2020-02-23
33,229,74,1.477,2020-02-24
34,322,93,1.406,2020-02-25
35,453,131,1.406,2020-02-26
36,655,202,1.445,2020-02-27
37,888,233,1.355,2020-02-28
38,1128,240,1.270,2020-02-29
39,1694,566,1.501,2020-03-01
40,2036,342,1.201,2020-03-02
41,2502,466,1.228,2020-03-03
42,3089,587,1.234,2020-03-04
43,3858,769,1.248,2020-03-05
44,4636,778,1.201,2020-03-06
45,5883,1247,1.268,2020-03-07
46,7375,1492,1.253,2020-03-08
47,9172,1797,1.243,2020-03-09
48,10149,977,1.106,2020-03-10
49,12462,2313,1.227,2020-03-11
50,15113,2651,1.212,2020-03-12
51,17660,2547,1.168,2020-03-13
52,21157,3497,1.198,2020-03-14
53,24747,3590,1.169,2020-03-15
54,27980,3233,1.130,2020-03-16
55,31506,3526,1.126,2020-03-17
56,35713,4207,1.133,2020-03-18
57,41035,5322,1.149,2020-03-19
58,47021,5986,1.145,2020-03-20
59,53578,6557,1.139,2020-03-21
60,59138,5560,1.103,2020-03-22
61,63927,4789,1.080,2020-03-23
62,69176,5249,1.082,2020-03-24
63,74386,5210,1.075,2020-03-25
64,80589,6203,1.083,2020-03-26
65,86498,5909,1.073,2020-03-27
66,92472,5974,1.069,2020-03-28
67,97689,5217,1.056,2020-03-29
68,101739,4050,1.041,2020-03-30
69,105792,4053,1.039,2020-03-31
70,110574,4782,1.045,2020-04-01
71,115242,4668,1.042,2020-04-02
72,119827,4585,1.039,2020-04-03
73,124632,4805,1.040,2020-04-04
74,128948,4316,1.034,2020-04-05
75,132547,3599,1.027,2020-04-06
76,135586,3039,1.022,2020-04-07
77,139422,3836,1.028,2020-04-08
78,143626,4204,1.030,2020-04-09
79,147577,3951,1.027,2020-04-10
80,152271,4694,1.031,2020-04-11
81,156363,4092,1.026,2020-04-12
82,159516,3153,1.020,2020-04-13
83,162488,2972,1.018,2020-04-14
84,165155,2667,1.016,2020-04-15
85,168941,3786,1.022,2020-04-16
86,172434,3493,1.020,2020-04-17
87,175925,3491,1.020,2020-04-18
88,178972,3047,1.017,2020-04-19
89,181228,2256,1.012,2020-04-20
90,183957,2729,1.015,2020-04-21
91,187327,3370,1.018,2020-04-22
92,189973,2646,1.014,2020-04-23
93,192994,3021,1.015,2020-04-24
94,195351,2357,1.012,2020-04-25
95,197675,2324,1.011,2020-04-26
96,199414,1739,1.008,2020-04-27
97,201505,2091,1.010,2020-04-28
98,203591,2086,1.010,2020-04-29
99,205463,1872,1.009,2020-04-30
100,207428,1965,1.009,2020-05-01
101,209328,1900,1.009,2020-05-02
102,210717,1389,1.006,2020-05-03
103,211938,1221,1.005,2020-05-04
104,213013,1075,1.005,2020-05-05
105,214457,1444,1.006,2020-05-06
106,215858,1401,1.006,2020-05-07
107,217185,1327,1.006,2020-05-08
108,218268,1083,1.004,2020-05-09
109,219070,802,1.003,2020-05-10
110,219814,744,1.003,2020-05-11
111,221216,1402,1.006,2020-05-12
112,222104,888,1.004,2020-05-13
113,223096,992,1.004,2020-05-14
114,223885,789,1.003,2020-05-15
115,224760,875,1.003,2020-05-16
116,225435,675,1.003,2020-05-17
117,225886,451,1.002,2020-05-18
118,226699,813,1.003,2020-05-19
119,227364,665,1.002,2020-05-20
120,228006,642,1.002,2020-05-21
121,228658,652,1.002,2020-05-22
122,229327,669,1.002,2020-05-23
123,229858,531,1.002,2020-05-24
