day,cases,cases_new,growth,date
9,2,2,1.0,2020-01-31
10,2,0,1.0,2020-02-01
11,2,0,1.0,2020-02-02
12,2,0,1.0,2020-02-03
13,2,0,1.0,2020-02-04
14,2,0,1.0,2020-02-05
15,2,0,1.0,2020-02-06
16,3,1,1.5,2020-02-07
17,3,0,1.0,2020-02-08
18,3,0,1.0,2020-02-09
19,3,0,1.0,2020-02-10
20,3,0,1.0,2020-02-11
21,3,0,1.0,2020-02-12
22,3,0,1.0,2020-02-13
23,3,0,1.0,2020-02-14
24,3,0,1.0,2020-02-15
25,3,0,1.0,2020-02-16
26,3,0,1.0,2020-02-17
27,3,0,1.0,2020-02-18
28,3,0,1.0,2020-02-19
29,3,0,1.0,2020-02-20
30,20,17,6.666,2020-02-21
31,62,42,3.1,2020-02-22
32,155,93,2.5,2020-02-23
33,229,74,1.477,2020-02-24
34,322,93,1.406,2020-02-25
35,453,131,1.406,2020-02-26
36,655,202,1.445,2020-02-27
37,888,233,1.355,2020-02-28
38,1128,240,1.270,2020-02-29
39,1694,566,1.501,2020-03-01
40,2036,342,1.201,2020-03-02
41,2502,466,1.228,2020-03-03
42,3089,587,1.234,2020-03-04
43,3858,769,1.248,2020-03-05
44,4636,778,1.201,2020-03-06
45,5883,1247,1.268,2020-03-07
46,7375,1492,1.253,2020-03-08
47,9172,1797,1.243,2020-03-09
48,10149,977,1.106,2020-03-10
49,12462,2313,1.227,2020-03-11
50,15113,2651,1.212,2020-03-12
51,17660,2547,1.168,2020-03-13
52,21157,3497,1.198,2020-03-14
53,24747,3590,1.169,2020-03-15
54,27980,3233,1.130,2020-03-16
55,31506,3526,1.126,2020-03-17
56,35713,4207,1.133,2020-03-18
57,41035,5322,1.149,2020-03-19
58,47021,5986,1.145,2020-03-20
59,53578,6557,1.139,2020-03-21
60,59138,5560,1.103,2020-03-22
61,63927,4789,1.080,2020-03-23
62,69176,5249,1.082,2020-03-24
63,74386,5210,1.075,2020-03-25
64,80589,6203,1.083,2020-03-26
65,86498,5909,1.073,2020-03-27
66,92472,5974,1.069,2020-03-28
