day,cases,cases_new,growth,date
44,1,1,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,9,8,9.0,2020-03-20
59,16,7,1.777,2020-03-21
60,16,0,1.0,2020-03-22
61,18,2,1.125,2020-03-23
62,20,2,1.111,2020-03-24
63,23,3,1.15,2020-03-25
64,23,0,1.0,2020-03-26
65,25,2,1.086,2020-03-27
66,25,0,1.0,2020-03-28
