day,cases,cases_new,growth,date
0,2,2,1.0,2020-01-22
1,5,3,2.5,2020-01-23
2,23,18,4.6,2020-01-24
3,23,0,1.0,2020-01-25
4,36,13,1.565,2020-01-26
5,46,10,1.277,2020-01-27
6,51,5,1.108,2020-01-28
7,58,7,1.137,2020-01-29
8,78,20,1.344,2020-01-30
9,87,9,1.115,2020-01-31
10,100,13,1.149,2020-02-01
11,111,11,1.11,2020-02-02
12,127,16,1.144,2020-02-03
13,139,12,1.094,2020-02-04
14,150,11,1.079,2020-02-05
15,168,18,1.12,2020-02-06
16,172,4,1.023,2020-02-07
17,183,11,1.063,2020-02-08
18,195,12,1.065,2020-02-09
19,210,15,1.076,2020-02-10
20,215,5,1.023,2020-02-11
21,222,7,1.032,2020-02-12
22,222,0,1.0,2020-02-13
23,226,4,1.018,2020-02-14
24,235,9,1.039,2020-02-15
25,237,2,1.008,2020-02-16
26,238,1,1.004,2020-02-17
27,242,4,1.016,2020-02-18
28,244,2,1.008,2020-02-19
29,245,1,1.004,2020-02-20
30,246,1,1.004,2020-02-21
31,249,3,1.012,2020-02-22
32,249,0,1.0,2020-02-23
33,251,2,1.008,2020-02-24
34,252,1,1.003,2020-02-25
35,252,0,1.0,2020-02-26
36,252,0,1.0,2020-02-27
37,252,0,1.0,2020-02-28
38,252,0,1.0,2020-02-29
39,252,0,1.0,2020-03-01
40,252,0,1.0,2020-03-02
41,252,0,1.0,2020-03-03
42,252,0,1.0,2020-03-04
43,252,0,1.0,2020-03-05
44,252,0,1.0,2020-03-06
45,252,0,1.0,2020-03-07
46,252,0,1.0,2020-03-08
47,252,0,1.0,2020-03-09
48,252,0,1.0,2020-03-10
49,252,0,1.0,2020-03-11
50,252,0,1.0,2020-03-12
51,252,0,1.0,2020-03-13
52,252,0,1.0,2020-03-14
53,252,0,1.0,2020-03-15
54,252,0,1.0,2020-03-16
55,253,1,1.003,2020-03-17
56,253,0,1.0,2020-03-18
57,253,0,1.0,2020-03-19
58,254,1,1.003,2020-03-20
59,254,0,1.0,2020-03-21
60,254,0,1.0,2020-03-22
61,254,0,1.0,2020-03-23
62,254,0,1.0,2020-03-24
63,254,0,1.0,2020-03-25
64,254,0,1.0,2020-03-26
65,254,0,1.0,2020-03-27
66,254,0,1.0,2020-03-28
67,254,0,1.0,2020-03-29
68,254,0,1.0,2020-03-30
69,254,0,1.0,2020-03-31
70,254,0,1.0,2020-04-01
71,254,0,1.0,2020-04-02
72,254,0,1.0,2020-04-03
73,254,0,1.0,2020-04-04
74,254,0,1.0,2020-04-05
75,254,0,1.0,2020-04-06
76,254,0,1.0,2020-04-07
77,254,0,1.0,2020-04-08
78,254,0,1.0,2020-04-09
79,254,0,1.0,2020-04-10
80,254,0,1.0,2020-04-11
81,254,0,1.0,2020-04-12
82,254,0,1.0,2020-04-13
83,254,0,1.0,2020-04-14
84,254,0,1.0,2020-04-15
85,254,0,1.0,2020-04-16
86,254,0,1.0,2020-04-17
87,254,0,1.0,2020-04-18
88,254,0,1.0,2020-04-19
89,254,0,1.0,2020-04-20
90,254,0,1.0,2020-04-21
91,254,0,1.0,2020-04-22
92,254,0,1.0,2020-04-23
