day,cases,cases_new,growth,date
41,1,1,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,8,7,8.0,2020-03-15
54,17,9,2.125,2020-03-16
55,34,17,2.0,2020-03-17
56,52,18,1.529,2020-03-18
57,69,17,1.326,2020-03-19
58,85,16,1.231,2020-03-20
59,85,0,1.0,2020-03-21
60,112,27,1.317,2020-03-22
61,127,15,1.133,2020-03-23
62,154,27,1.212,2020-03-24
63,172,18,1.116,2020-03-25
64,212,40,1.232,2020-03-26
65,235,23,1.108,2020-03-27
66,246,11,1.046,2020-03-28
67,259,13,1.052,2020-03-29
68,268,9,1.034,2020-03-30
69,274,6,1.022,2020-03-31
70,278,4,1.014,2020-04-01
71,299,21,1.075,2020-04-02
72,310,11,1.036,2020-04-03
73,323,13,1.041,2020-04-04
74,345,22,1.068,2020-04-05
75,349,4,1.011,2020-04-06
76,353,4,1.011,2020-04-07
77,358,5,1.014,2020-04-08
78,372,14,1.039,2020-04-09
79,372,0,1.0,2020-04-10
80,381,9,1.024,2020-04-11
81,389,8,1.020,2020-04-12
82,391,2,1.005,2020-04-13
83,397,6,1.015,2020-04-14
84,401,4,1.010,2020-04-15
85,402,1,1.002,2020-04-16
86,407,5,1.012,2020-04-17
87,413,6,1.014,2020-04-18
88,417,4,1.009,2020-04-19
89,425,8,1.019,2020-04-20
90,428,3,1.007,2020-04-21
91,435,7,1.016,2020-04-22
92,437,2,1.004,2020-04-23
