day,cases,cases_new,growth,date
53,1,1,1.0,2020-03-15
54,6,5,6.0,2020-03-16
55,10,4,1.666,2020-03-17
56,15,5,1.5,2020-03-18
57,23,8,1.533,2020-03-19
58,33,10,1.434,2020-03-20
59,43,10,1.303,2020-03-21
60,43,0,1.0,2020-03-22
61,46,3,1.069,2020-03-23
62,50,4,1.086,2020-03-24
63,60,10,1.2,2020-03-25
64,75,15,1.25,2020-03-26
65,88,13,1.173,2020-03-27
66,104,16,1.181,2020-03-28
67,144,40,1.384,2020-03-29
68,149,5,1.034,2020-03-30
69,172,23,1.154,2020-03-31
70,181,9,1.052,2020-04-01
71,205,24,1.132,2020-04-02
72,227,22,1.107,2020-04-03
73,266,39,1.171,2020-04-04
74,342,76,1.285,2020-04-05
75,457,115,1.336,2020-04-06
76,520,63,1.137,2020-04-07
77,545,25,1.048,2020-04-08
78,582,37,1.067,2020-04-09
79,624,42,1.072,2020-04-10
80,767,143,1.229,2020-04-11
81,865,98,1.127,2020-04-12
82,998,133,1.153,2020-04-13
83,1165,167,1.167,2020-04-14
84,1302,137,1.117,2020-04-15
85,1349,47,1.036,2020-04-16
86,1405,56,1.041,2020-04-17
87,1490,85,1.060,2020-04-18
88,1565,75,1.050,2020-04-19
89,1627,62,1.039,2020-04-20
90,1678,51,1.031,2020-04-21
91,1716,38,1.022,2020-04-22
92,1758,42,1.024,2020-04-23
