day,cases,cases_new,growth,date
1,1,1,1.0,2020-01-23
2,3,2,3.0,2020-01-24
3,3,0,1.0,2020-01-25
4,4,1,1.333,2020-01-26
5,5,1,1.25,2020-01-27
6,7,2,1.4,2020-01-28
7,7,0,1.0,2020-01-29
8,10,3,1.428,2020-01-30
9,13,3,1.3,2020-01-31
10,16,3,1.230,2020-02-01
11,18,2,1.125,2020-02-02
12,18,0,1.0,2020-02-03
13,24,6,1.333,2020-02-04
14,28,4,1.166,2020-02-05
15,28,0,1.0,2020-02-06
16,30,2,1.071,2020-02-07
17,33,3,1.1,2020-02-08
18,40,7,1.212,2020-02-09
19,45,5,1.125,2020-02-10
20,47,2,1.044,2020-02-11
21,50,3,1.063,2020-02-12
22,58,8,1.16,2020-02-13
23,67,9,1.155,2020-02-14
24,72,5,1.074,2020-02-15
25,75,3,1.041,2020-02-16
26,77,2,1.026,2020-02-17
27,81,4,1.051,2020-02-18
28,84,3,1.037,2020-02-19
29,84,0,1.0,2020-02-20
30,85,1,1.011,2020-02-21
31,85,0,1.0,2020-02-22
32,89,4,1.047,2020-02-23
33,89,0,1.0,2020-02-24
34,91,2,1.022,2020-02-25
35,93,2,1.021,2020-02-26
36,93,0,1.0,2020-02-27
37,93,0,1.0,2020-02-28
38,102,9,1.096,2020-02-29
39,106,4,1.039,2020-03-01
40,108,2,1.018,2020-03-02
41,110,2,1.018,2020-03-03
42,110,0,1.0,2020-03-04
43,117,7,1.063,2020-03-05
44,130,13,1.111,2020-03-06
45,138,8,1.061,2020-03-07
46,150,12,1.086,2020-03-08
47,150,0,1.0,2020-03-09
48,160,10,1.066,2020-03-10
49,178,18,1.112,2020-03-11
50,185,7,1.039,2020-03-12
51,200,15,1.081,2020-03-13
52,212,12,1.06,2020-03-14
53,226,14,1.066,2020-03-15
54,243,17,1.075,2020-03-16
55,266,23,1.094,2020-03-17
56,313,47,1.176,2020-03-18
57,345,32,1.102,2020-03-19
58,385,40,1.115,2020-03-20
59,432,47,1.122,2020-03-21
60,455,23,1.053,2020-03-22
