day,cases,cases_new,growth,date
52,2,2,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,3,1,1.5,2020-03-16
55,4,1,1.333,2020-03-17
56,4,0,1.0,2020-03-18
57,6,2,1.5,2020-03-19
58,7,1,1.166,2020-03-20
59,7,0,1.0,2020-03-21
60,7,0,1.0,2020-03-22
61,7,0,1.0,2020-03-23
62,7,0,1.0,2020-03-24
63,7,0,1.0,2020-03-25
64,7,0,1.0,2020-03-26
65,7,0,1.0,2020-03-27
66,8,1,1.142,2020-03-28
67,8,0,1.0,2020-03-29
68,8,0,1.0,2020-03-30
69,10,2,1.25,2020-03-31
70,10,0,1.0,2020-04-01
71,10,0,1.0,2020-04-02
72,10,0,1.0,2020-04-03
73,10,0,1.0,2020-04-04
74,10,0,1.0,2020-04-05
75,11,1,1.1,2020-04-06
76,11,0,1.0,2020-04-07
77,11,0,1.0,2020-04-08
78,11,0,1.0,2020-04-09
79,11,0,1.0,2020-04-10
80,11,0,1.0,2020-04-11
81,11,0,1.0,2020-04-12
82,11,0,1.0,2020-04-13
83,11,0,1.0,2020-04-14
84,11,0,1.0,2020-04-15
85,11,0,1.0,2020-04-16
86,11,0,1.0,2020-04-17
87,11,0,1.0,2020-04-18
88,11,0,1.0,2020-04-19
89,11,0,1.0,2020-04-20
90,11,0,1.0,2020-04-21
91,11,0,1.0,2020-04-22
92,11,0,1.0,2020-04-23
