day,cases,cases_new,growth,date
9,1,1,1.0,2020-01-31
10,1,0,1.0,2020-02-01
11,1,0,1.0,2020-02-02
12,1,0,1.0,2020-02-03
13,1,0,1.0,2020-02-04
14,1,0,1.0,2020-02-05
15,1,0,1.0,2020-02-06
16,1,0,1.0,2020-02-07
17,1,0,1.0,2020-02-08
18,1,0,1.0,2020-02-09
19,1,0,1.0,2020-02-10
20,1,0,1.0,2020-02-11
21,1,0,1.0,2020-02-12
22,1,0,1.0,2020-02-13
23,1,0,1.0,2020-02-14
24,1,0,1.0,2020-02-15
25,1,0,1.0,2020-02-16
26,1,0,1.0,2020-02-17
27,1,0,1.0,2020-02-18
28,1,0,1.0,2020-02-19
29,1,0,1.0,2020-02-20
30,1,0,1.0,2020-02-21
31,1,0,1.0,2020-02-22
32,1,0,1.0,2020-02-23
33,1,0,1.0,2020-02-24
34,1,0,1.0,2020-02-25
35,2,1,2.0,2020-02-26
36,7,5,3.5,2020-02-27
37,7,0,1.0,2020-02-28
38,12,5,1.714,2020-02-29
39,14,2,1.166,2020-03-01
40,15,1,1.071,2020-03-02
41,21,6,1.4,2020-03-03
42,35,14,1.666,2020-03-04
43,94,59,2.685,2020-03-05
44,101,7,1.074,2020-03-06
45,161,60,1.594,2020-03-07
46,203,42,1.260,2020-03-08
47,248,45,1.221,2020-03-09
48,355,107,1.431,2020-03-10
49,500,145,1.408,2020-03-11
50,599,99,1.198,2020-03-12
51,814,215,1.358,2020-03-13
52,961,147,1.180,2020-03-14
53,1022,61,1.063,2020-03-15
54,1103,81,1.079,2020-03-16
55,1190,87,1.078,2020-03-17
56,1279,89,1.074,2020-03-18
57,1439,160,1.125,2020-03-19
58,1639,200,1.138,2020-03-20
59,1763,124,1.075,2020-03-21
60,1934,171,1.096,2020-03-22
61,2046,112,1.057,2020-03-23
62,2286,240,1.117,2020-03-24
63,2526,240,1.104,2020-03-25
64,2840,314,1.124,2020-03-26
65,3069,229,1.080,2020-03-27
66,3447,378,1.123,2020-03-28
67,3700,253,1.073,2020-03-29
68,4028,328,1.088,2020-03-30
69,4435,407,1.101,2020-03-31
70,4947,512,1.115,2020-04-01
71,5568,621,1.125,2020-04-02
72,6131,563,1.101,2020-04-03
73,6443,312,1.050,2020-04-04
74,6830,387,1.060,2020-04-05
75,7206,376,1.055,2020-04-06
76,7693,487,1.067,2020-04-07
77,8419,726,1.094,2020-04-08
78,9141,722,1.085,2020-04-09
79,9685,544,1.059,2020-04-10
80,10151,466,1.048,2020-04-11
81,10483,332,1.032,2020-04-12
