day,cases,cases_new,growth,date
38,1,1,1.0,2020-02-29
39,3,2,3.0,2020-03-01
40,3,0,1.0,2020-03-02
41,7,4,2.333,2020-03-03
42,8,1,1.142,2020-03-04
43,8,0,1.0,2020-03-05
44,8,0,1.0,2020-03-06
45,8,0,1.0,2020-03-07
46,15,7,1.875,2020-03-08
47,18,3,1.2,2020-03-09
48,24,6,1.333,2020-03-10
49,262,238,10.91,2020-03-11
50,281,19,1.072,2020-03-12
51,320,39,1.138,2020-03-13
52,337,17,1.053,2020-03-14
53,401,64,1.189,2020-03-15
54,439,38,1.094,2020-03-16
55,439,0,1.0,2020-03-17
56,452,13,1.029,2020-03-18
57,460,8,1.017,2020-03-19
58,470,10,1.021,2020-03-20
59,481,11,1.023,2020-03-21
60,494,13,1.027,2020-03-22
61,501,7,1.014,2020-03-23
62,526,25,1.049,2020-03-24
63,537,11,1.020,2020-03-25
64,549,12,1.022,2020-03-26
65,562,13,1.023,2020-03-27
66,590,28,1.049,2020-03-28
67,634,44,1.074,2020-03-29
68,693,59,1.093,2020-03-30
69,781,88,1.126,2020-03-31
70,835,54,1.069,2020-04-01
71,949,114,1.136,2020-04-02
72,1075,126,1.132,2020-04-03
73,1325,250,1.232,2020-04-04
74,1604,279,1.210,2020-04-05
75,1832,228,1.142,2020-04-06
76,2057,225,1.122,2020-04-07
77,2210,153,1.074,2020-04-08
78,2376,166,1.075,2020-04-09
79,2512,136,1.057,2020-04-10
80,2728,216,1.085,2020-04-11
81,2979,251,1.092,2020-04-12
82,3231,252,1.084,2020-04-13
83,3428,197,1.060,2020-04-14
84,3711,283,1.082,2020-04-15
85,4103,392,1.105,2020-04-16
86,4663,560,1.136,2020-04-17
87,5008,345,1.073,2020-04-18
88,5448,440,1.087,2020-04-19
89,6015,567,1.104,2020-04-20
90,6533,518,1.086,2020-04-21
91,7141,608,1.093,2020-04-22
92,7764,623,1.087,2020-04-23
93,8525,761,1.098,2020-04-24
94,9358,833,1.097,2020-04-25
95,10287,929,1.099,2020-04-26
96,11244,957,1.093,2020-04-27
97,11921,677,1.060,2020-04-28
98,12564,643,1.053,2020-04-29
99,13409,845,1.067,2020-04-30
100,14096,687,1.051,2020-05-01
101,14872,776,1.055,2020-05-02
102,15551,679,1.045,2020-05-03
103,16191,640,1.041,2020-05-04
104,17142,951,1.058,2020-05-05
105,17972,830,1.048,2020-05-06
106,18890,918,1.051,2020-05-07
107,20201,1311,1.069,2020-05-08
108,21331,1130,1.055,2020-05-09
109,22520,1189,1.055,2020-05-10
110,23623,1103,1.048,2020-05-11
111,25149,1526,1.064,2020-05-12
112,26539,1390,1.055,2020-05-13
113,28272,1733,1.065,2020-05-14
114,29425,1153,1.040,2020-05-15
115,30972,1547,1.052,2020-05-16
116,32604,1632,1.052,2020-05-17
117,33969,1365,1.041,2020-05-18
118,35606,1637,1.048,2020-05-19
119,37097,1491,1.041,2020-05-20
120,38651,1554,1.041,2020-05-21
121,40481,1830,1.047,2020-05-22
122,42213,1732,1.042,2020-05-23
123,43714,1501,1.035,2020-05-24
