day,cases,cases_new,growth,date
58,1,1,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,1,0,1.0,2020-03-22
61,2,1,2.0,2020-03-23
62,2,0,1.0,2020-03-24
63,3,1,1.5,2020-03-25
64,3,0,1.0,2020-03-26
65,3,0,1.0,2020-03-27
66,3,0,1.0,2020-03-28
67,6,3,2.0,2020-03-29
68,6,0,1.0,2020-03-30
69,6,0,1.0,2020-03-31
70,16,10,2.666,2020-04-01
71,18,2,1.125,2020-04-02
72,23,5,1.277,2020-04-03
73,23,0,1.0,2020-04-04
74,25,2,1.086,2020-04-05
75,37,12,1.48,2020-04-06
76,40,3,1.081,2020-04-07
77,40,0,1.0,2020-04-08
78,43,3,1.075,2020-04-09
79,50,7,1.162,2020-04-10
80,50,0,1.0,2020-04-11
81,50,0,1.0,2020-04-12
82,50,0,1.0,2020-04-13
83,52,2,1.04,2020-04-14
84,53,1,1.019,2020-04-15
85,57,4,1.075,2020-04-16
86,57,0,1.0,2020-04-17
87,64,7,1.122,2020-04-18
88,67,3,1.046,2020-04-19
89,67,0,1.0,2020-04-20
90,67,0,1.0,2020-04-21
91,71,4,1.059,2020-04-22
92,73,2,1.028,2020-04-23
