day,cases,cases_new,growth,date
39,1,1,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,2,1,2.0,2020-03-06
45,2,0,1.0,2020-03-07
46,5,3,2.5,2020-03-08
47,5,0,1.0,2020-03-09
48,5,0,1.0,2020-03-10
49,5,0,1.0,2020-03-11
50,5,0,1.0,2020-03-12
51,5,0,1.0,2020-03-13
52,11,6,2.2,2020-03-14
53,11,0,1.0,2020-03-15
54,11,0,1.0,2020-03-16
55,21,10,1.909,2020-03-17
56,21,0,1.0,2020-03-18
57,34,13,1.619,2020-03-19
58,72,38,2.117,2020-03-20
59,112,40,1.555,2020-03-21
60,202,90,1.803,2020-03-22
61,245,43,1.212,2020-03-23
