day,cases,cases_new,growth,date
44,1,1,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,2,1,2.0,2020-03-20
59,2,0,1.0,2020-03-21
60,2,0,1.0,2020-03-22
61,2,0,1.0,2020-03-23
62,2,0,1.0,2020-03-24
63,2,0,1.0,2020-03-25
64,2,0,1.0,2020-03-26
65,3,1,1.5,2020-03-27
66,3,0,1.0,2020-03-28
67,4,1,1.333,2020-03-29
68,4,0,1.0,2020-03-30
69,4,0,1.0,2020-03-31
70,4,0,1.0,2020-04-01
71,5,1,1.25,2020-04-02
72,5,0,1.0,2020-04-03
73,5,0,1.0,2020-04-04
74,5,0,1.0,2020-04-05
75,5,0,1.0,2020-04-06
76,5,0,1.0,2020-04-07
77,5,0,1.0,2020-04-08
78,5,0,1.0,2020-04-09
79,5,0,1.0,2020-04-10
80,5,0,1.0,2020-04-11
81,5,0,1.0,2020-04-12
82,5,0,1.0,2020-04-13
83,5,0,1.0,2020-04-14
84,5,0,1.0,2020-04-15
85,5,0,1.0,2020-04-16
86,5,0,1.0,2020-04-17
87,5,0,1.0,2020-04-18
88,5,0,1.0,2020-04-19
89,5,0,1.0,2020-04-20
90,6,1,1.2,2020-04-21
91,6,0,1.0,2020-04-22
92,7,1,1.166,2020-04-23
