day,cases,cases_new,growth,date
0,2,2,1.0,2020-01-22
1,6,4,3.0,2020-01-23
2,15,9,2.5,2020-01-24
3,27,12,1.8,2020-01-25
4,46,19,1.703,2020-01-26
5,75,29,1.630,2020-01-27
6,95,20,1.266,2020-01-28
7,130,35,1.368,2020-01-29
8,158,28,1.215,2020-01-30
9,184,26,1.164,2020-01-31
10,206,22,1.119,2020-02-01
11,230,24,1.116,2020-02-02
12,259,29,1.126,2020-02-03
13,275,16,1.061,2020-02-04
14,307,32,1.116,2020-02-05
15,347,40,1.130,2020-02-06
16,386,39,1.112,2020-02-07
17,416,30,1.077,2020-02-08
18,444,28,1.067,2020-02-09
19,466,22,1.049,2020-02-10
20,487,21,1.045,2020-02-11
21,497,10,1.020,2020-02-12
22,509,12,1.024,2020-02-13
23,523,14,1.027,2020-02-14
24,532,9,1.017,2020-02-15
25,537,5,1.009,2020-02-16
26,541,4,1.007,2020-02-17
27,543,2,1.003,2020-02-18
28,544,1,1.001,2020-02-19
29,546,2,1.003,2020-02-20
30,749,203,1.371,2020-02-21
31,750,1,1.001,2020-02-22
32,754,4,1.005,2020-02-23
33,755,1,1.001,2020-02-24
34,756,1,1.001,2020-02-25
35,756,0,1.0,2020-02-26
36,756,0,1.0,2020-02-27
37,756,0,1.0,2020-02-28
38,756,0,1.0,2020-02-29
39,758,2,1.002,2020-03-01
40,758,0,1.0,2020-03-02
41,758,0,1.0,2020-03-03
42,758,0,1.0,2020-03-04
43,758,0,1.0,2020-03-05
44,758,0,1.0,2020-03-06
45,758,0,1.0,2020-03-07
46,758,0,1.0,2020-03-08
47,758,0,1.0,2020-03-09
48,758,0,1.0,2020-03-10
49,760,2,1.002,2020-03-11
50,760,0,1.0,2020-03-12
51,760,0,1.0,2020-03-13
52,760,0,1.0,2020-03-14
53,760,0,1.0,2020-03-15
54,760,0,1.0,2020-03-16
55,761,1,1.001,2020-03-17
56,761,0,1.0,2020-03-18
57,761,0,1.0,2020-03-19
58,762,1,1.001,2020-03-20
59,764,2,1.002,2020-03-21
60,767,3,1.003,2020-03-22
61,768,1,1.001,2020-03-23
62,768,0,1.0,2020-03-24
63,769,1,1.001,2020-03-25
64,771,2,1.002,2020-03-26
65,772,1,1.001,2020-03-27
66,772,0,1.0,2020-03-28
67,772,0,1.0,2020-03-29
68,773,1,1.001,2020-03-30
69,774,1,1.001,2020-03-31
70,774,0,1.0,2020-04-01
71,775,1,1.001,2020-04-02
72,778,3,1.003,2020-04-03
73,778,0,1.0,2020-04-04
74,779,1,1.001,2020-04-05
75,780,1,1.001,2020-04-06
76,781,1,1.001,2020-04-07
77,783,2,1.002,2020-04-08
78,783,0,1.0,2020-04-09
79,783,0,1.0,2020-04-10
80,784,1,1.001,2020-04-11
81,784,0,1.0,2020-04-12
82,784,0,1.0,2020-04-13
83,784,0,1.0,2020-04-14
84,784,0,1.0,2020-04-15
85,784,0,1.0,2020-04-16
86,787,3,1.003,2020-04-17
87,787,0,1.0,2020-04-18
88,787,0,1.0,2020-04-19
89,787,0,1.0,2020-04-20
90,787,0,1.0,2020-04-21
91,787,0,1.0,2020-04-22
92,787,0,1.0,2020-04-23
93,787,0,1.0,2020-04-24
94,787,0,1.0,2020-04-25
95,787,0,1.0,2020-04-26
96,787,0,1.0,2020-04-27
97,787,0,1.0,2020-04-28
98,787,0,1.0,2020-04-29
99,787,0,1.0,2020-04-30
100,787,0,1.0,2020-05-01
101,787,0,1.0,2020-05-02
102,788,1,1.001,2020-05-03
103,788,0,1.0,2020-05-04
104,788,0,1.0,2020-05-05
105,788,0,1.0,2020-05-06
106,788,0,1.0,2020-05-07
107,788,0,1.0,2020-05-08
108,788,0,1.0,2020-05-09
109,788,0,1.0,2020-05-10
110,788,0,1.0,2020-05-11
111,788,0,1.0,2020-05-12
112,788,0,1.0,2020-05-13
113,788,0,1.0,2020-05-14
114,788,0,1.0,2020-05-15
115,788,0,1.0,2020-05-16
116,788,0,1.0,2020-05-17
117,788,0,1.0,2020-05-18
118,788,0,1.0,2020-05-19
119,788,0,1.0,2020-05-20
120,788,0,1.0,2020-05-21
121,788,0,1.0,2020-05-22
122,788,0,1.0,2020-05-23
123,788,0,1.0,2020-05-24
