day,cases,cases_new,growth,date
43,2,2,1.0,2020-03-05
44,2,0,1.0,2020-03-06
45,3,1,1.5,2020-03-07
46,3,0,1.0,2020-03-08
47,3,0,1.0,2020-03-09
48,5,2,1.666,2020-03-10
49,7,2,1.4,2020-03-11
50,11,4,1.571,2020-03-12
51,13,2,1.181,2020-03-13
52,18,5,1.384,2020-03-14
53,24,6,1.333,2020-03-15
54,25,1,1.041,2020-03-16
55,26,1,1.04,2020-03-17
56,38,12,1.461,2020-03-18
57,63,25,1.657,2020-03-19
58,89,26,1.412,2020-03-20
59,93,4,1.044,2020-03-21
60,126,33,1.354,2020-03-22
61,136,10,1.079,2020-03-23
62,166,30,1.220,2020-03-24
63,176,10,1.060,2020-03-25
64,191,15,1.085,2020-03-26
65,237,46,1.240,2020-03-27
66,258,21,1.088,2020-03-28
67,323,65,1.251,2020-03-29
68,368,45,1.139,2020-03-30
69,420,52,1.141,2020-03-31
70,459,39,1.092,2020-04-01
71,533,74,1.161,2020-04-02
72,579,46,1.086,2020-04-03
73,624,45,1.077,2020-04-04
74,654,30,1.048,2020-04-05
75,674,20,1.030,2020-04-06
76,764,90,1.133,2020-04-07
77,804,40,1.052,2020-04-08
78,858,54,1.067,2020-04-09
79,901,43,1.050,2020-04-10
80,946,45,1.049,2020-04-11
81,1009,63,1.066,2020-04-12
