day,cases,cases_new,growth,date
44,1,1,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,5,4,5.0,2020-03-08
47,9,4,1.8,2020-03-09
48,9,0,1.0,2020-03-10
49,13,4,1.444,2020-03-11
50,22,9,1.692,2020-03-12
51,23,1,1.045,2020-03-13
52,26,3,1.130,2020-03-14
53,27,1,1.038,2020-03-15
54,35,8,1.296,2020-03-16
55,41,6,1.171,2020-03-17
56,50,9,1.219,2020-03-18
57,69,19,1.38,2020-03-19
58,89,20,1.289,2020-03-20
59,117,28,1.314,2020-03-21
60,134,17,1.145,2020-03-22
61,158,24,1.179,2020-03-23
62,177,19,1.120,2020-03-24
63,201,24,1.135,2020-03-25
64,231,30,1.149,2020-03-26
65,263,32,1.138,2020-03-27
66,295,32,1.121,2020-03-28
67,314,19,1.064,2020-03-29
68,330,16,1.050,2020-03-30
69,347,17,1.051,2020-03-31
70,375,28,1.080,2020-04-01
71,396,21,1.056,2020-04-02
72,416,20,1.050,2020-04-03
73,435,19,1.045,2020-04-04
74,454,19,1.043,2020-04-05
75,467,13,1.028,2020-04-06
76,483,16,1.034,2020-04-07
77,502,19,1.039,2020-04-08
78,539,37,1.073,2020-04-09
79,558,19,1.035,2020-04-10
80,577,19,1.034,2020-04-11
81,595,18,1.031,2020-04-12
