day,cases,cases_new,growth,date
63,2,2,1.0,2020-03-25
64,2,0,1.0,2020-03-26
65,2,0,1.0,2020-03-27
66,2,0,1.0,2020-03-28
67,2,0,1.0,2020-03-29
68,7,5,3.5,2020-03-30
69,8,1,1.142,2020-03-31
70,8,0,1.0,2020-04-01
71,9,1,1.125,2020-04-02
72,9,0,1.0,2020-04-03
73,9,0,1.0,2020-04-04
74,10,1,1.111,2020-04-05
75,10,0,1.0,2020-04-06
76,11,1,1.1,2020-04-07
77,11,0,1.0,2020-04-08
78,11,0,1.0,2020-04-09
79,12,1,1.090,2020-04-10
80,12,0,1.0,2020-04-11
81,12,0,1.0,2020-04-12
82,12,0,1.0,2020-04-13
83,14,2,1.166,2020-04-14
84,14,0,1.0,2020-04-15
85,14,0,1.0,2020-04-16
86,14,0,1.0,2020-04-17
87,14,0,1.0,2020-04-18
88,14,0,1.0,2020-04-19
89,15,1,1.071,2020-04-20
90,15,0,1.0,2020-04-21
91,15,0,1.0,2020-04-22
92,15,0,1.0,2020-04-23
93,15,0,1.0,2020-04-24
94,15,0,1.0,2020-04-25
95,15,0,1.0,2020-04-26
96,15,0,1.0,2020-04-27
97,15,0,1.0,2020-04-28
98,15,0,1.0,2020-04-29
99,15,0,1.0,2020-04-30
100,15,0,1.0,2020-05-01
101,15,0,1.0,2020-05-02
102,15,0,1.0,2020-05-03
103,15,0,1.0,2020-05-04
104,15,0,1.0,2020-05-05
105,15,0,1.0,2020-05-06
106,15,0,1.0,2020-05-07
107,15,0,1.0,2020-05-08
108,15,0,1.0,2020-05-09
109,15,0,1.0,2020-05-10
110,15,0,1.0,2020-05-11
111,15,0,1.0,2020-05-12
112,15,0,1.0,2020-05-13
113,15,0,1.0,2020-05-14
114,15,0,1.0,2020-05-15
115,15,0,1.0,2020-05-16
116,15,0,1.0,2020-05-17
117,15,0,1.0,2020-05-18
118,15,0,1.0,2020-05-19
119,15,0,1.0,2020-05-20
120,15,0,1.0,2020-05-21
121,15,0,1.0,2020-05-22
122,15,0,1.0,2020-05-23
123,15,0,1.0,2020-05-24
